Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/8/2020 2:32:36 AM,32.3182,-86.9023,9046,369,null,8677,1,192.9238369,115173,1178,4.079151006,84000001,USA,2456.291959,13.02233031
Alaska,US,5/8/2020 2:32:36 AM,61.3707,-152.4044,374,10,291,73,2,62.56806787,24341,null,2.673796791,84000002,USA,4072.110535,null
American Samoa,US,5/8/2020 2:32:36 AM,-14.271,-170.132,0,0,null,0,60,0,83,null,null,16,ASM,149.1705757,null
Arizona,US,5/8/2020 2:32:36 AM,33.7298,-111.4312,9945,450,1722,7773,4,136.6312222,111086,1449,4.524886878,84000004,USA,1526.175561,14.57013575
Arkansas,US,5/8/2020 2:32:36 AM,34.9697,-92.3731,3703,87,2123,1493,5,143.0267046,59995,462,2.349446395,84000005,USA,2317.279812,12.47637051
California,US,5/8/2020 2:32:36 AM,36.1162,-119.6816,62148,2535,null,59613,6,158.5059612,842874,null,4.078972775,84000006,USA,2149.716057,null
Colorado,US,5/8/2020 2:32:36 AM,39.0598,-105.3111,18370,944,2869,14557,8,324.1680994,91347,2986,5.138813283,84000008,USA,1611.964256,16.2547632
Connecticut,US,5/8/2020 2:32:36 AM,41.5978,-72.7554,31784,2797,5413,23574,9,891.4850333,116174,9389,8.80002517,84000009,USA,3258.475405,29.54002014
Delaware,US,5/8/2020 2:32:36 AM,39.3185,-75.5071,5939,202,2110,3627,10,609.9013724,27326,null,3.401246001,84000010,USA,2806.224095,null
Diamond Princess,US,5/8/2020 2:32:36 AM,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/8/2020 2:32:36 AM,38.8974,-77.0268,5654,285,825,4544,11,801.134681,25856,null,5.040679165,84000011,USA,3663.625453,null
Florida,US,5/8/2020 2:32:36 AM,27.7663,-81.6868,38828,1600,null,37228,12,182.8696864,492950,6990,4.120737612,84000012,USA,2321.665084,18.00247244
Georgia,US,5/8/2020 2:32:36 AM,33.0406,-83.6431,31618,1355,null,30263,13,311.8332626,217303,5835,4.285533557,84000013,USA,2143.155907,18.45467772
Grand Princess,US,5/8/2020 2:32:36 AM,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/8/2020 2:32:36 AM,13.4443,144.7937,149,5,123,21,66,90.7269727,3715,null,3.355704698,316,GUM,2262.085259,null
Hawaii,US,5/8/2020 2:32:36 AM,21.0943,-157.4983,629,17,558,54,15,44.4276183,35541,74,2.702702703,84000015,USA,2510.337014,11.76470588
Idaho,US,5/8/2020 2:32:36 AM,44.2405,-114.4788,2178,67,1399,712,16,135.2377558,30890,205,3.076216713,84000016,USA,1918.041449,9.412304867
Illinois,US,5/8/2020 2:32:36 AM,40.3495,-88.9861,70871,3111,null,67760,17,603.8948152,379043,null,4.389665731,84000017,USA,3229.841578,null
Indiana,US,5/8/2020 2:32:36 AM,39.8494,-86.2583,22503,1414,null,21089,18,343.8725647,124782,null,6.28360663,84000018,USA,1906.817152,null
Iowa,US,5/8/2020 2:32:36 AM,42.0115,-93.2105,11059,231,4266,6562,19,421.9843989,66427,null,2.088796455,84000019,USA,2534.691895,null
Kansas,US,5/8/2020 2:32:36 AM,38.5266,-96.7265,6332,165,323,5844,20,259.6691064,44822,587,2.60581175,84000020,USA,1838.106236,9.27037271
Kentucky,US,5/8/2020 2:32:36 AM,37.6681,-84.6701,6129,294,2125,3710,21,179.0376137,78606,1616,4.796867352,84000021,USA,2296.203404,26.36645456
Louisiana,US,5/8/2020 2:32:36 AM,31.1695,-91.8678,30652,2208,20316,8128,22,666.744104,200767,null,7.203445126,84000022,USA,4367.095574,null
Maine,US,5/8/2020 2:32:36 AM,44.6939,-69.3819,1330,62,787,481,23,113.2873256,23422,192,4.661654135,84000023,USA,1995.049429,14.43609023
Maryland,US,5/8/2020 2:32:36 AM,39.0639,-76.8021,29374,1503,2029,25842,24,494.2342977,148600,5663,5.116769933,84000024,USA,2500.279725,19.27895418
Massachusetts,US,5/8/2020 2:32:36 AM,42.2302,-71.5301,73721,4552,null,69169,25,1074.05957,351632,7237,6.17463138,84000025,USA,5123.013993,9.816741498
Michigan,US,5/8/2020 2:32:36 AM,43.3266,-84.5361,45745,4345,15659,25741,26,574.1623311,247062,null,9.498305826,84000026,USA,3100.966091,null
Minnesota,US,5/8/2020 2:32:36 AM,45.6945,-93.9002,9365,508,5308,3549,27,189.3278528,97421,1459,5.42445275,84000027,USA,1969.515082,15.57928457
Mississippi,US,5/8/2020 2:32:36 AM,32.7416,-89.6787,8686,396,4421,3869,28,300.0131942,80787,1442,4.559060557,84000028,USA,2790.371393,16.60142758
Missouri,US,5/8/2020 2:32:36 AM,38.4561,-92.2884,9581,449,null,9132,29,163.5134729,103622,null,4.686358418,84000029,USA,1768.457686,null
Montana,US,5/8/2020 2:32:36 AM,46.9219,-110.4544,456,16,417,23,30,52.6566796,20247,62,3.50877193,84000030,USA,2338.02586,13.59649123
Nebraska,US,5/8/2020 2:32:36 AM,41.1254,-98.2681,7334,91,null,7243,31,480.8322712,37758,null,1.240796291,84000031,USA,2475.492896,null
Nevada,US,5/8/2020 2:32:36 AM,38.3135,-117.0554,5855,297,205,5353,32,194.0864462,51357,null,5.072587532,84000032,USA,1702.424871,null
New Hampshire,US,5/8/2020 2:32:36 AM,43.4525,-71.5639,2843,114,1110,1619,33,214.0574695,28806,307,4.009848751,84000033,USA,2168.884793,10.79845234
New Jersey,US,5/8/2020 2:32:36 AM,40.2989,-74.521,133991,8807,15642,109542,34,1508.53562,292658,null,6.572829518,84000034,USA,3294.885608,null
New Mexico,US,5/8/2020 2:32:36 AM,34.8405,-106.2485,4493,172,1073,3248,35,269.4399451,85684,687,3.828177164,84000035,USA,5138.369076,15.29045181
New York,US,5/8/2020 2:32:36 AM,42.1657,-74.9481,327469,26144,55547,245778,36,1942.165438,1089916,71152,7.983656468,84000036,USA,6464.114726,21.72785821
North Carolina,US,5/8/2020 2:32:36 AM,35.6301,-79.8064,13540,513,null,13027,37,136.5211802,171328,null,3.788774003,84000037,USA,1727.466821,null
North Dakota,US,5/8/2020 2:32:36 AM,47.5289,-99.784,1371,31,601,739,38,226.0816796,40867,102,2.261123268,84000038,USA,6739.080964,7.439824945
Northern Mariana Islands,US,5/8/2020 2:32:36 AM,15.0979,145.6739,15,2,12,1,69,27.20150878,1798,null,13.33333333,580,MNP,3260.554185,null
Ohio,US,5/8/2020 2:32:36 AM,40.3888,-82.7649,22131,1271,null,20860,39,198.0604733,176059,4140,5.743075324,84000039,USA,1575.632771,18.70679138
Oklahoma,US,5/8/2020 2:32:36 AM,35.5653,-96.9289,4330,260,2985,1085,40,118.3825391,86887,805,6.004618938,84000040,USA,2375.497384,18.59122402
Oregon,US,5/8/2020 2:32:36 AM,44.572,-122.0709,2989,121,1125,1743,41,74.59308213,70458,645,4.048176648,84000041,USA,1758.340375,21.57912345
Pennsylvania,US,5/8/2020 2:32:36 AM,40.5908,-77.2098,55956,3589,null,52367,42,444.5363522,262788,null,6.413968118,84000042,USA,2087.690666,null
Puerto Rico,US,5/8/2020 2:32:36 AM,18.2208,-66.5901,2031,102,null,1929,72,69.23687397,2031,null,5.022156573,630,PRI,69.23687397,null
Rhode Island,US,5/8/2020 2:32:36 AM,41.6809,-71.5118,10530,388,696,9446,44,993.9954369,82318,1153,3.684710351,84000044,USA,7770.533369,10.94966762
South Carolina,US,5/8/2020 2:32:36 AM,33.8569,-80.945,7142,316,3816,3010,45,141.7070521,77482,1152,4.424530944,84000045,USA,1537.348896,16.12993559
South Dakota,US,5/8/2020 2:32:36 AM,44.2998,-99.4388,2906,31,2028,847,46,394.8949031,20114,236,1.066758431,84000046,USA,2733.281514,8.121128699
Tennessee,US,5/8/2020 2:32:36 AM,35.7478,-86.6923,14096,238,6783,7075,47,214.7167167,236328,1266,1.688422247,84000047,USA,3599.856145,8.981271283
Texas,US,5/8/2020 2:32:36 AM,31.0545,-97.5635,36036,985,18440,16611,48,156.7835035,455162,null,2.733377733,84000048,USA,1980.294512,null
Utah,US,5/8/2020 2:32:36 AM,40.15,-111.8624,5724,61,2640,3023,49,199.7290886,134543,476,1.06568833,84000049,USA,4694.645488,8.315863033
Vermont,US,5/8/2020 2:32:36 AM,44.0459,-72.7107,916,53,718,145,50,150.0185885,18451,null,5.786026201,84000050,USA,3021.826394,null
Virgin Islands,US,5/8/2020 2:32:36 AM,18.3358,-64.8963,66,4,54,8,78,61.52813514,1056,null,6.060606061,850,VIR,984.4501622,null
Virginia,US,5/8/2020 2:32:36 AM,37.7693,-78.17,21570,769,2825,17976,51,272.7883216,123152,4438,3.565136764,84000051,USA,1557.460704,20.57487251
Washington,US,5/8/2020 2:32:36 AM,47.4009,-121.4905,16231,891,null,15340,53,214.9971329,224813,null,5.48949541,84000053,USA,2977.891099,null
West Virginia,US,5/8/2020 2:32:36 AM,38.4912,-80.9545,1287,51,716,520,54,97.27905862,57521,null,3.962703963,84000054,USA,4347.776792,null
