Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/16/2020 2:32,32.3182,-86.9023,11373,483,null,10890,1,231.9512725,146063,1377,4.246900554,84000001,USA,2978.941239,12.10762332
Alaska,US,5/16/2020 2:32,61.3707,-152.4044,388,10,343,35,2,53.03843236,32418,null,2.577319588,84000002,USA,4431.443042,null
American Samoa,US,5/16/2020 2:32,-14.271,-170.132,0,0,null,0,60,0,105,null,null,16,ASM,188.7097644,null
Arizona,US,5/16/2020 2:32,33.7298,-111.4312,13169,651,3145,9373,4,180.9247426,142001,1629,4.943427747,84000004,USA,1950.907007,12.36995975
Arkansas,US,5/16/2020 2:32,34.9697,-92.3731,4463,98,3390,975,5,147.8889948,81529,520,2.1958324,84000005,USA,2701.600236,11.65135559
California,US,5/16/2020 2:32,36.1162,-119.6816,76693,3136,null,73557,6,194.099431,1133906,null,4.08903029,84000006,USA,2869.760074,null
Colorado,US,5/16/2020 2:32,39.0598,-105.3111,21232,1150,3217,16865,8,368.6920185,118030,3789,5.416352675,84000008,USA,2049.581714,17.8457046
Connecticut,US,5/16/2020 2:32,41.5978,-72.7554,36085,3285,6264,26536,9,1012.120483,155908,10946,9.103505612,84000009,USA,4372.943889,30.33393377
Delaware,US,5/16/2020 2:32,39.3185,-75.5071,7373,271,3210,3892,10,757.1649804,38278,null,3.675573037,84000010,USA,3930.93193,null
Diamond Princess,US,5/16/2020 2:32,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/16/2020 2:32,38.8974,-77.0268,6871,368,975,5528,11,973.5755913,34339,null,5.3558434,84000011,USA,4865.610862,null
Florida,US,5/16/2020 2:32,27.7663,-81.6868,44138,1917,null,42221,12,205.5058221,608837,7993,4.343196339,84000012,USA,2834.735335,18.10911233
Georgia,US,5/16/2020 2:32,33.0406,-83.6431,36772,1588,null,35184,13,346.3363944,301874,6438,4.318503209,84000013,USA,2843.194625,17.50788644
Grand Princess,US,5/16/2020 2:32,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/16/2020 2:32,13.4443,144.7937,154,5,124,25,66,93.77150199,4515,null,3.246753247,316,GUM,2749.209945,null
Hawaii,US,5/16/2020 2:32,21.0943,-157.4983,638,17,564,57,15,45.06057045,38776,81,2.664576803,84000015,USA,2738.665642,12.69592476
Idaho,US,5/16/2020 2:32,44.2405,-114.4788,2351,72,1573,706,16,131.5564907,34745,212,3.062526584,84000016,USA,1944.24937,9.017439387
Illinois,US,5/16/2020 2:32,40.3495,-88.9861,90369,4059,null,86310,17,713.1492782,538602,null,4.491584504,84000017,USA,4250.391479,null
Indiana,US,5/16/2020 2:32,39.8494,-86.2583,26656,1691,null,24965,18,395.9467153,165448,4389,6.343787515,84000018,USA,2457.555228,16.46533613
Iowa,US,5/16/2020 2:32,42.0115,-93.2105,14049,336,6561,7152,19,445.2833059,93566,null,2.391629297,84000019,USA,2965.576041,null
Kansas,US,5/16/2020 2:32,38.5266,-96.7265,7886,193,443,7250,20,270.6882952,61592,724,2.447375095,84000020,USA,2114.155906,9.180826782
Kentucky,US,5/16/2020 2:32,37.6681,-84.6701,7444,332,2712,4400,21,166.6191774,121278,1887,4.459967759,84000021,USA,2714.567516,25.34927458
Louisiana,US,5/16/2020 2:32,31.1695,-91.8678,33837,2448,22608,8781,22,727.866195,253189,null,7.234683926,84000022,USA,5446.337265,null
Maine,US,5/16/2020 2:32,44.6939,-69.3819,1603,69,993,541,23,119.2520227,23695,211,4.304429195,84000023,USA,1762.742782,13.16281971
Maryland,US,5/16/2020 2:32,39.0639,-76.8021,36986,1911,2685,32390,24,611.7756811,182826,6679,5.166819878,84000024,USA,3024.076696,18.05818418
Massachusetts,US,5/16/2020 2:32,42.2302,-71.5301,83421,5592,null,77829,25,1210.315034,435679,8314,6.703348078,84000025,USA,6321.056371,9.966315436
Michigan,US,5/16/2020 2:32,43.3266,-84.5361,50079,4825,22686,22568,26,501.4490545,357496,null,9.634777052,84000026,USA,3579.664753,null
Minnesota,US,5/16/2020 2:32,45.6945,-93.9002,14240,692,8820,4728,27,252.4987446,134669,1985,4.859550562,84000027,USA,2387.904033,13.93960674
Mississippi,US,5/16/2020 2:32,32.7416,-89.6787,10801,493,6268,4040,28,362.9186576,106823,1712,4.564392186,84000028,USA,3589.302821,15.85038422
Missouri,US,5/16/2020 2:32,38.4561,-92.2884,10766,581,null,10185,29,175.4154998,134458,null,5.396618986,84000029,USA,2190.787411,null
Montana,US,5/16/2020 2:32,46.9219,-110.4544,466,16,431,19,30,43.60119688,25418,63,3.433476395,84000030,USA,2378.230091,13.5193133
Nebraska,US,5/16/2020 2:32,41.1254,-98.2681,9610,113,null,9497,31,496.7928172,57215,null,1.175858481,84000031,USA,2957.752449,null
Nevada,US,5/16/2020 2:32,38.3135,-117.0554,6733,343,272,6118,32,218.5928245,72146,null,5.0943116,84000032,USA,2342.283962,null
New Hampshire,US,5/16/2020 2:32,43.4525,-71.5639,3453,151,1247,2055,33,253.9510234,42612,335,4.373008978,84000033,USA,3133.901248,9.701708659
New Jersey,US,5/16/2020 2:32,40.2989,-74.521,143984,10148,15642,118194,34,1621.041658,462972,null,7.048005334,84000034,USA,5212.363167,null
New Mexico,US,5/16/2020 2:32,34.8405,-106.2485,5662,253,1576,3833,35,270.0267881,119601,886,4.468385729,84000035,USA,5703.898601,15.64818085
New York,US,5/16/2020 2:32,42.1657,-74.9481,345813,27878,60302,257633,36,1777.633411,1338048,74751,8.061582416,84000036,USA,6878.164877,21.61601791
North Carolina,US,5/16/2020 2:32,35.6301,-79.8064,17494,667,9115,7712,37,166.7988166,231547,null,3.812735795,84000037,USA,2207.714965,null
North Dakota,US,5/16/2020 2:32,47.5289,-99.784,1761,42,1071,648,38,231.0835601,51715,130,2.385008518,84000038,USA,6786.193249,7.382169222
Northern Mariana Islands,US,5/16/2020 2:32,15.0979,145.6739,19,2,12,5,69,34.45524445,3325,null,10.52631579,580,MNP,6029.667779,null
Ohio,US,5/16/2020 2:32,40.3888,-82.7649,26954,1581,null,25373,39,230.5908924,246182,4791,5.865548713,84000039,USA,2106.081734,17.77472731
Oklahoma,US,5/16/2020 2:32,35.5653,-96.9289,5087,285,3801,1001,40,128.5579298,118192,863,5.602516218,84000040,USA,2986.931165,16.96481227
Oregon,US,5/16/2020 2:32,44.572,-122.0709,3541,137,1406,1998,41,83.95497396,89506,691,3.86896357,84000041,USA,2122.133267,19.51426151
Pennsylvania,US,5/16/2020 2:32,40.5908,-77.2098,64136,4422,null,59714,42,500.9846517,319832,null,6.894723712,84000042,USA,2498.299288,null
Puerto Rico,US,5/16/2020 2:32,18.2208,-66.5901,2542,122,null,2420,72,86.6568851,2542,null,4.799370574,630,PRI,86.6568851,null
Rhode Island,US,5/16/2020 2:32,41.6809,-71.5118,12219,479,919,10821,44,1153.431172,104978,1372,3.920124396,84000044,USA,9909.558687,11.22841476
South Carolina,US,5/16/2020 2:32,33.8569,-80.945,8407,380,5076,2951,45,163.2834918,109616,1421,4.520042821,84000045,USA,2128.997649,16.90258118
South Dakota,US,5/16/2020 2:32,44.2998,-99.4388,3887,44,2574,1269,46,439.3783367,27414,296,1.13197839,84000046,USA,3098.821128,7.615127348
Tennessee,US,5/16/2020 2:32,35.7478,-86.6923,16960,290,9280,7390,47,248.3462861,309756,1454,1.70990566,84000047,USA,4535.775483,8.573113208
Texas,US,5/16/2020 2:32,31.0545,-97.5635,45721,1280,25454,18987,48,157.6810168,645992,null,2.79958881,84000048,USA,2227.875056,null
Utah,US,5/16/2020 2:32,40.15,-111.8624,6913,77,3719,3117,49,215.6297743,163218,566,1.113843483,84000049,USA,5091.083539,8.187472877
Vermont,US,5/16/2020 2:32,44.0459,-72.7107,933,53,796,84,50,149.5218666,23205,null,5.680600214,84000050,USA,3718.815556,null
Virgin Islands,US,5/16/2020 2:32,18.3358,-64.8963,69,6,61,2,78,64.32486855,1263,null,8.695652174,850,VIR,1177.424768,null
Virginia,US,5/16/2020 2:32,37.7693,-78.17,28672,978,3805,23889,51,335.9139614,178014,5316,3.410993304,84000051,USA,2085.56738,18.54073661
Washington,US,5/16/2020 2:32,47.4009,-121.4905,17951,991,null,16960,53,235.7354201,267931,null,5.520583811,84000053,USA,3518.512998,null
West Virginia,US,5/16/2020 2:32,38.4912,-80.9545,1447,64,870,513,54,80.74114456,70936,null,4.422944022,84000054,USA,3958.15745,null
Wisconsin,US,5/16/2020 2:32,44.2685,-89.6165,11685,445,6250,4990,55,200.689265,140342,1977,3.808301241,84000055,USA,2410.366524,16.91912709
Wyoming,US,5/16/2020 2:32,42.756,-107.3025,716,7,487,222,56,123.712979,16022,68,0.977653631,84000056,USA,2768.33708,9.497206704
