Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/7/2020 2:32:32 AM,32.3182,-86.9023,8691,343,null,8348,1,185.3527599,109516,1158,3.946611437,84000001,USA,2335.645249,13.32412841
Alaska,US,5/7/2020 2:32:32 AM,61.3707,-152.4044,372,10,284,78,2,62.23347927,23655,null,2.688172043,84000002,USA,3957.346645,null
American Samoa,US,5/7/2020 2:32:32 AM,-14.271,-170.132,0,0,null,0,60,0,83,null,null,16,ASM,149.1705757,null
Arizona,US,5/7/2020 2:32:32 AM,33.7298,-111.4312,9707,426,1693,7588,4,133.3614152,91737,1430,4.388585557,84000004,USA,1260.345745,14.73163696
Arkansas,US,5/7/2020 2:32:32 AM,34.9697,-92.3731,3611,87,2109,1415,5,139.4732461,59003,453,2.409304902,84000005,USA,2278.96426,12.54500138
California,US,5/7/2020 2:32:32 AM,36.1162,-119.6816,60616,2464,null,58152,6,154.5986571,809036,null,4.064933351,84000006,USA,2063.413606,null
Colorado,US,5/7/2020 2:32:32 AM,39.0598,-105.3111,17832,919,2801,14112,8,314.6742269,85976,2919,5.153656348,84000008,USA,1517.18435,16.36944818
Connecticut,US,5/7/2020 2:32:32 AM,41.5978,-72.7554,30995,2718,4346,23931,9,869.3549776,111447,7758,8.769156316,84000009,USA,3125.891408,25.02984352
Delaware,US,5/7/2020 2:32:32 AM,39.3185,-75.5071,5778,193,2008,3577,10,593.3675921,26468,null,3.340256144,84000010,USA,2718.112397,null
Diamond Princess,US,5/7/2020 2:32:32 AM,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/7/2020 2:32:32 AM,38.8974,-77.0268,5461,277,808,4376,11,773.7878481,24984,null,5.072331075,84000011,USA,3540.068778,null
Florida,US,5/7/2020 2:32:32 AM,27.7663,-81.6868,38002,1539,null,36463,12,178.9794432,480051,6776,4.049786853,84000012,USA,2260.914181,17.83064049
Georgia,US,5/7/2020 2:32:32 AM,33.0406,-83.6431,30743,1327,null,29416,13,303.2035547,204137,5765,4.316429756,84000013,USA,2013.305925,18.75223628
Grand Princess,US,5/7/2020 2:32:32 AM,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/7/2020 2:32:32 AM,13.4443,144.7937,149,5,123,21,66,90.7269727,3627,null,3.355704698,316,GUM,2208.501544,null
Hawaii,US,5/7/2020 2:32:32 AM,21.0943,-157.4983,626,17,551,58,15,44.21572187,35199,73,2.715654952,84000015,USA,2486.180821,11.66134185
Idaho,US,5/7/2020 2:32:32 AM,44.2405,-114.4788,2158,66,1379,713,16,133.9959031,30545,203,3.058387396,84000016,USA,1896.619491,9.406858202
Illinois,US,5/7/2020 2:32:32 AM,40.3495,-88.9861,68232,2974,null,65258,17,581.4077836,361260,null,4.358658694,84000017,USA,3078.311876,null
Indiana,US,5/7/2020 2:32:32 AM,39.8494,-86.2583,21870,1377,null,20493,18,334.1995729,120496,null,6.296296296,84000018,USA,1841.321982,null
Iowa,US,5/7/2020 2:32:32 AM,42.0115,-93.2105,10404,219,3803,6382,19,396.9912005,63171,null,2.104959631,84000019,USA,2410.450896,null
Kansas,US,5/7/2020 2:32:32 AM,38.5266,-96.7265,5993,164,318,5511,20,245.7670491,42114,571,2.736525947,84000020,USA,1727.053814,9.527782413
Kentucky,US,5/7/2020 2:32:32 AM,37.6681,-84.6701,5934,283,2058,3593,21,173.3413607,61014,1603,4.769127064,84000021,USA,1782.313748,27.01381867
Louisiana,US,5/7/2020 2:32:32 AM,31.1695,-91.8678,30399,2167,20316,7916,22,661.2408331,194672,null,7.128523965,84000022,USA,4234.516776,null
Maine,US,5/7/2020 2:32:32 AM,44.6939,-69.3819,1254,62,766,426,23,106.8137642,23346,191,4.944178628,84000023,USA,1988.575868,15.23125997
Maryland,US,5/7/2020 2:32:32 AM,39.0639,-76.8021,28163,1437,1903,24823,24,473.8585323,144012,5497,5.102439371,84000024,USA,2423.084009,19.5185172
Massachusetts,US,5/7/2020 2:32:32 AM,42.2302,-71.5301,72025,4420,null,67605,25,1049.350124,339639,7080,6.13675807,84000025,USA,4948.284995,9.829920167
Michigan,US,5/7/2020 2:32:32 AM,43.3266,-84.5361,45179,4256,15659,25264,26,567.0582568,233231,null,9.420305894,84000026,USA,2927.36812,null
Minnesota,US,5/7/2020 2:32:32 AM,45.6945,-93.9002,8579,485,5005,3089,27,173.437656,93232,1405,5.65333955,84000027,USA,1884.828016,16.37720014
Mississippi,US,5/7/2020 2:32:32 AM,32.7416,-89.6787,8424,374,4421,3629,28,290.9637518,80525,1392,4.439696106,84000028,USA,2781.321951,16.52421652
Missouri,US,5/7/2020 2:32:32 AM,38.4561,-92.2884,9323,428,null,8895,29,159.1103338,100747,null,4.590796954,84000029,USA,1719.391698,null
Montana,US,5/7/2020 2:32:32 AM,46.9219,-110.4544,456,16,417,23,30,52.6566796,19704,62,3.50877193,84000030,USA,2275.32284,13.59649123
Nebraska,US,5/7/2020 2:32:32 AM,41.1254,-98.2681,6689,78,null,6611,31,438.5447317,36128,null,1.166093586,84000031,USA,2368.626711,null
Nevada,US,5/7/2020 2:32:32 AM,38.3135,-117.0554,5741,289,203,5249,32,190.3074787,49275,null,5.033966208,84000032,USA,1633.40899,null
New Hampshire,US,5/7/2020 2:32:32 AM,43.4525,-71.5639,2741,92,1105,1544,33,206.3776025,27733,295,3.356439256,84000033,USA,2088.095604,10.76249544
New Jersey,US,5/7/2020 2:32:32 AM,40.2989,-74.521,131890,8549,15642,107699,34,1484.881544,288920,null,6.481916749,84000034,USA,3252.801392,null
New Mexico,US,5/7/2020 2:32:32 AM,34.8405,-106.2485,4291,169,964,3158,35,257.3262418,83251,687,3.93847588,84000035,USA,4992.464917,16.01025402
New York,US,5/7/2020 2:32:32 AM,42.1657,-74.9481,323978,25623,54597,243758,36,1921.460884,1028899,70539,7.908870355,84000036,USA,6102.232812,21.77277469
North Carolina,US,5/7/2020 2:32:32 AM,35.6301,-79.8064,13053,492,null,12561,37,131.6108541,164482,null,3.769248449,84000037,USA,1658.439938,null
North Dakota,US,5/7/2020 2:32:32 AM,47.5289,-99.784,1323,31,582,710,38,218.1663473,38632,97,2.343159486,84000038,USA,6370.523302,7.331821618
Northern Mariana Islands,US,5/7/2020 2:32:32 AM,15.0979,145.6739,15,2,12,1,69,27.20150878,1798,null,13.33333333,580,MNP,3260.554185,null
Ohio,US,5/7/2020 2:32:32 AM,40.3888,-82.7649,21576,1225,null,20351,39,193.0935236,168929,4052,5.677604746,84000039,USA,1511.82313,18.78012607
Oklahoma,US,5/7/2020 2:32:32 AM,35.5653,-96.9289,4202,253,2909,1040,40,114.8830091,82890,773,6.020942408,84000040,USA,2266.219091,18.3960019
Oregon,US,5/7/2020 2:32:32 AM,44.572,-122.0709,2916,115,1125,1676,41,72.77130395,67976,641,3.943758573,84000041,USA,1696.399917,21.98216735
Pennsylvania,US,5/7/2020 2:32:32 AM,40.5908,-77.2098,54800,3345,null,51455,42,435.352636,256340,null,6.104014599,84000042,USA,2036.465232,null
Puerto Rico,US,5/7/2020 2:32:32 AM,18.2208,-66.5901,1968,99,null,1869,72,67.08920137,1968,null,5.030487805,630,PRI,67.08920137,null
Rhode Island,US,5/7/2020 2:32:32 AM,41.6809,-71.5118,10205,370,665,9170,44,963.3165654,79373,1123,3.625673689,84000044,USA,7492.535595,11.0044096
South Carolina,US,5/7/2020 2:32:32 AM,33.8569,-80.945,6936,305,3816,2815,45,137.6197303,77482,1152,4.397347174,84000045,USA,1537.348896,16.60899654
South Dakota,US,5/7/2020 2:32:32 AM,44.2998,-99.4388,2780,29,1977,774,46,377.7728254,19416,230,1.043165468,84000046,USA,2638.430639,8.273381295
Tennessee,US,5/7/2020 2:32:32 AM,35.7478,-86.6923,13938,239,6564,7135,47,212.3099884,227101,1221,1.714736691,84000047,USA,3459.306262,8.760223848
Texas,US,5/7/2020 2:32:32 AM,31.0545,-97.5635,34928,954,17622,16352,48,151.9628763,438938,null,2.731333028,84000048,USA,1909.707999,null
Utah,US,5/7/2020 2:32:32 AM,40.15,-111.8624,5595,58,2509,3028,49,195.2278566,131002,464,1.036639857,84000049,USA,4571.088412,8.293118856
Vermont,US,5/7/2020 2:32:32 AM,44.0459,-72.7107,908,52,706,150,50,148.7083825,17876,null,5.726872247,84000050,USA,2927.655337,null
Virgin Islands,US,5/7/2020 2:32:32 AM,18.3358,-64.8963,66,4,54,8,78,61.52813514,1056,null,6.060606061,850,VIR,984.4501622,null
Virginia,US,5/7/2020 2:32:32 AM,37.7693,-78.17,20257,713,2617,16927,51,256.1832652,113708,4113,3.519770943,84000051,USA,1438.025706,20.30409241
Washington,US,5/7/2020 2:32:32 AM,47.4009,-121.4905,15905,870,null,15035,53,210.6789106,219453,null,5.469977994,84000053,USA,2906.892108,null
West Virginia,US,5/7/2020 2:32:32 AM,38.4912,-80.9545,1242,50,716,476,54,93.87769294,55784,null,4.025764895,84000054,USA,4216.484076,null
Wisconsin,US,5/7/2020 2:32:32 AM,44.2685,-89.6165,8901,362,4348,4191,55,172.0142597,96727,1694,4.066958769,84000055,USA,1869.275733,19.03156949
Wyoming,US,5/7/2020 2:32:32 AM,42.756,-107.3025,631,7,409,215,56,126.9004907,12007,60,1.109350238,84000056,USA,2414.729306,9.508716323
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
