Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,4/29/2020 2:32:33 AM,32.3182,-86.9023,6750,242,null,6508,1,143.9570969,75827,911,3.585185185,84000001,USA,1617.16071,13.4962963
Alaska,US,4/29/2020 2:32:33 AM,61.3707,-152.4044,351,9,228,342,2,58.72029899,17089,null,2.564102564,84000002,USA,2858.892278,null
American Samoa,US,4/29/2020 2:32:33 AM,-14.271,-170.132,0,0,null,null,60,0,3,null,null,16,ASM,5.391707554,null
Arizona,US,4/29/2020 2:32:33 AM,33.7298,-111.4312,6955,275,1450,6680,4,95.55255411,67438,1095,3.953989935,84000004,USA,926.5094384,15.74406902
Arkansas,US,4/29/2020 2:32:33 AM,34.9697,-92.3731,3127,57,1146,3070,5,120.7789645,40671,null,1.822833387,84000005,USA,1570.899029,null
California,US,4/29/2020 2:32:33 AM,36.1162,-119.6816,46164,1864,null,44300,6,117.7394155,577608,null,4.037778355,84000006,USA,1473.16585,null
Colorado,US,4/29/2020 2:32:33 AM,39.0598,-105.3111,14316,736,2275,13580,8,252.6287704,66341,2485,5.141100866,84000008,USA,1170.693298,17.35820061
Connecticut,US,4/29/2020 2:32:33 AM,41.5978,-72.7554,26312,2087,null,24225,9,738.0051031,92745,null,7.931742171,84000009,USA,2601.333357,null
Delaware,US,4/29/2020 2:32:33 AM,39.3185,-75.5071,4575,137,1096,4438,10,469.8263645,21180,null,2.994535519,84000010,USA,2175.065005,null
Diamond Princess,US,4/29/2020 2:32:33 AM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,4/29/2020 2:32:33 AM,38.8974,-77.0268,3994,190,660,3804,11,565.9235791,18885,null,4.757135704,84000011,USA,2675.880518,null
Florida,US,4/29/2020 2:32:33 AM,27.7663,-81.6868,32848,1171,null,31677,12,154.7054563,366875,5266,3.564905017,84000012,USA,1727.884933,16.03141744
Georgia,US,4/29/2020 2:32:33 AM,33.0406,-83.6431,24922,1036,null,23886,13,245.7938064,140020,4814,4.156969746,84000013,USA,1380.950516,19.31626675
Grand Princess,US,4/29/2020 2:32:33 AM,null,null,103,3,0,100,99999,null,null,null,2.912621359,84099999,USA,null,null
