Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/21/2020 2:32:54 AM,32.3182,-86.9023,13052,522,null,12530,1,266.1943206,164450,1493,3.999387067,84000001,USA,3353.942386,11.43885994
Alaska,US,5/21/2020 2:32:54 AM,61.3707,-152.4044,401,10,352,39,2,54.81549324,37045,null,2.493765586,84000002,USA,5063.940017,null
American Samoa,US,5/21/2020 2:32:54 AM,-14.271,-170.132,0,0,null,0,60,0,124,null,null,16,ASM,222.8572456,null
Arizona,US,5/21/2020 2:32:54 AM,33.7298,-111.4312,14906,747,3773,10386,4,204.7888385,165435,1792,5.011404803,84000004,USA,2272.859351,12.02200456
Arkansas,US,5/21/2020 2:32:54 AM,34.9697,-92.3731,5003,107,3852,1044,5,165.782801,96258,535,2.13871677,84000005,USA,3189.67037,10.69358385
California,US,5/21/2020 2:32:54 AM,36.1162,-119.6816,85997,3497,null,82500,6,217.6465748,1380120,null,4.066420922,84000006,USA,3492.893832,null
Colorado,US,5/21/2020 2:32:54 AM,39.0598,-105.3111,22797,1299,3478,18020,8,395.8681211,131837,3955,5.698118173,84000008,USA,2289.339188,17.34877396
Connecticut,US,5/21/2020 2:32:54 AM,41.5978,-72.7554,39017,3529,6264,29224,9,1094.357902,190718,10946,9.044775354,84000009,USA,5349.302875,28.05443781
Delaware,US,5/21/2020 2:32:54 AM,39.3185,-75.5071,8194,310,3965,3919,10,841.4769903,45412,null,3.783256041,84000010,USA,4663.552976,null
Diamond Princess,US,5/21/2020 2:32:54 AM,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/21/2020 2:32:54 AM,38.8974,-77.0268,7551,407,1059,6085,11,1069.927127,40419,null,5.390014568,84000011,USA,5727.106946,null
Florida,US,5/21/2020 2:32:54 AM,27.7663,-81.6868,47471,2096,null,45375,12,221.0242168,771348,8934,4.415327252,84000012,USA,3591.383953,18.8199111
Georgia,US,5/21/2020 2:32:54 AM,33.0406,-83.6431,39801,1697,null,38104,13,374.8649743,402940,7107,4.263711967,84000013,USA,3795.082856,17.85633527
Grand Princess,US,5/21/2020 2:32:54 AM,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/21/2020 2:32:54 AM,13.4443,144.7937,154,5,125,24,66,93.77150199,4972,null,3.246753247,316,GUM,3027.479921,null
Hawaii,US,5/21/2020 2:32:54 AM,21.0943,-157.4983,643,17,578,48,15,45.41370971,46304,82,2.643856921,84000015,USA,3270.352122,12.75272162
Idaho,US,5/21/2020 2:32:54 AM,44.2405,-114.4788,2506,77,1668,761,16,140.2299301,38567,215,3.072625698,84000016,USA,2158.119598,8.579409417
Illinois,US,5/21/2020 2:32:54 AM,40.3495,-88.9861,100418,4525,null,95893,17,792.4512191,642713,null,4.506164234,84000017,USA,5071.986102,null
Indiana,US,5/21/2020 2:32:54 AM,39.8494,-86.2583,29274,1864,null,27410,18,434.8343392,195738,4389,6.367425019,84000018,USA,2907.481174,14.9928264
Iowa,US,5/21/2020 2:32:54 AM,42.0115,-93.2105,15620,393,8362,6865,19,495.076179,110748,null,2.516005122,84000019,USA,3510.159838,null
Kansas,US,5/21/2020 2:32:54 AM,38.5266,-96.7265,8507,202,473,7832,20,292.0042261,71203,760,2.374515105,84000020,USA,2444.055121,8.933819208
Kentucky,US,5/21/2020 2:32:54 AM,37.6681,-84.6701,8167,376,2826,4965,21,182.8020985,153986,2010,4.603893719,84000021,USA,3446.671231,24.61124036
Louisiana,US,5/21/2020 2:32:54 AM,31.1695,-91.8678,35316,2608,26249,6459,22,759.6808979,285970,null,7.384754785,84000022,USA,6151.487891,null
Maine,US,5/21/2020 2:32:54 AM,44.6939,-69.3819,1819,73,1100,646,23,135.3209166,37269,231,4.013194063,84000023,USA,2772.553734,12.69928532
Maryland,US,5/21/2020 2:32:54 AM,39.0639,-76.8021,42323,2123,2993,37207,24,700.053592,215330,7393,5.016185053,84000024,USA,3561.716796,17.46804338
Massachusetts,US,5/21/2020 2:32:54 AM,42.2302,-71.5301,88970,6066,null,82904,25,1290.822797,489953,8897,6.818028549,84000025,USA,7108.491647,10
Michigan,US,5/21/2020 2:32:54 AM,43.3266,-84.5361,53009,5060,28234,19715,26,530.7876142,437072,null,9.545548869,84000026,USA,4376.471997,null
