Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,4/20/2020 11:36:47 PM,32.3182,-86.9023,5079,163,null,4916,1,108.3197178,45900,641,3.209293168,84000001,USA,978.9082592,12.62059461
Alaska,US,4/20/2020 11:36:47 PM,61.3707,-152.4044,321,9,161,312,2,53.70147002,10124,46,2.803738318,84000002,USA,1693.687484,14.33021807
American Samoa,US,null,-14.271,-170.132,0,0,null,null,60,0,3,null,null,16,ASM,5.391707554,null
Arizona,US,4/20/2020 11:36:47 PM,33.7298,-111.4312,5068,191,1155,4877,4,69.62765553,54500,637,3.768745067,84000004,USA,748.758332,12.56906077
Arkansas,US,4/20/2020 11:36:47 PM,34.9697,-92.3731,1973,41,749,1932,5,76.20623501,26553,291,2.078053725,84000005,USA,1025.597647,14.74911303
California,US,4/20/2020 11:36:47 PM,36.1162,-119.6816,33686,1225,null,32461,6,85.91478098,290500,4674,3.63652556,84000006,USA,740.9085043,13.87520038
Colorado,US,4/20/2020 11:36:47 PM,39.0598,-105.3111,9730,420,null,9310,8,171.7014484,46195,1813,4.316546763,84000008,USA,815.1848314,18.63309353
Connecticut,US,4/20/2020 11:36:47 PM,41.5978,-72.7554,19815,1331,null,18484,9,555.7757342,62806,1919,6.717133485,84000009,USA,1761.597313,9.684582387
Delaware,US,4/20/2020 11:36:47 PM,39.3185,-75.5071,2745,72,495,2673,10,281.8958187,16470,256,2.62295082,84000010,USA,1691.374912,9.326047359
Diamond Princess,US,4/20/2020 11:36:47 PM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,4/20/2020 11:36:47 PM,38.8974,-77.0268,2927,105,630,2822,11,414.736684,14113,402,3.587290741,84000011,USA,1999.719447,13.73419884
Florida,US,4/20/2020 11:36:47 PM,27.7663,-81.6868,27059,822,null,26237,12,127.4407861,266225,4010,3.037806275,84000012,USA,1253.849857,14.81946857
Georgia,US,4/20/2020 11:36:47 PM,33.0406,-83.6431,19407,775,null,18632,13,191.4019902,84328,3550,3.993404442,84000013,USA,831.6868673,18.29236873
Grand Princess,US,4/20/2020 11:36:47 PM,null,null,103,0,0,103,99999,null,null,null,0,84099999,USA,null,null
Guam,US,4/20/2020 11:36:47 PM,13.4443,144.7937,136,5,112,131,66,82.81119656,1124,3,3.676470588,316,GUM,684.4101833,2.205882353
Hawaii,US,4/20/2020 11:36:47 PM,21.0943,-157.4983,584,10,414,574,15,41.24917184,24175,52,1.712328767,84000015,USA,1707.532071,8.904109589
Idaho,US,4/20/2020 11:36:47 PM,44.2405,-114.4788,1672,45,585,1627,16,103.8188832,17445,151,2.69138756,84000016,USA,1083.205992,9.031100478
Illinois,US,4/20/2020 11:36:47 PM,40.3495,-88.9861,31513,1349,null,30164,17,268.5236177,148358,4599,4.280773014,84000017,USA,1264.164849,14.59397709
Indiana,US,4/20/2020 11:36:47 PM,39.8494,-86.2583,11688,577,null,11111,18,178.6065207,64639,null,4.936687201,84000018,USA,987.7606856,null
Iowa,US,4/20/2020 11:36:47 PM,42.0115,-93.2105,3159,79,1235,3080,19,120.5397157,25820,214,2.50079139,84000019,USA,985.2280658,6.774295663
Kansas,US,4/20/2020 11:36:47 PM,38.5266,-96.7265,2048,102,null,1946,20,83.9864703,18761,405,4.98046875,84000020,USA,769.3701999,19.77539063
Kentucky,US,4/20/2020 11:36:47 PM,37.6681,-84.6701,3050,154,1174,2896,21,89.09523931,32572,1059,5.049180328,84000021,USA,951.4787327,34.72131148
Louisiana,US,4/20/2020 11:36:47 PM,31.1695,-91.8678,24523,1328,null,23195,22,533.4257361,142099,1794,5.415324389,84000022,USA,3090.945793,7.315581291
Maine,US,4/20/2020 11:36:47 PM,44.6939,-69.3819,875,35,414,840,23,74.53113528,14951,138,4,84000023,USA,1273.502861,15.77142857
Maryland,US,4/20/2020 11:44:33 PM,39.0639,-76.8021,13684,582,917,13102,24,230.241102,71397,3014,4.253142356,84000024,USA,1201.295232,22.02572347
