Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/12/2020 3:32,32.3182,-86.9023,10164,403,null,9761,1,216.7673975,129444,1256,3.96497442,84000001,USA,2760.649253,12.35733963
Alaska,US,5/12/2020 3:32,61.3707,-152.4044,379,10,328,41,2,63.40453936,28680,null,2.638522427,84000002,USA,4798.000499,null
American Samoa,US,5/12/2020 3:32,-14.271,-170.132,0,0,null,0,60,0,105,null,null,16,ASM,188.7097644,null
Arizona,US,5/12/2020 3:32,33.7298,-111.4312,11383,542,2852,7989,4,156.3874512,150241,1537,4.761486427,84000004,USA,2064.113772,13.50259158
Arkansas,US,5/12/2020 3:32,34.9697,-92.3731,4043,94,3149,800,5,156.1590513,69030,480,2.325006184,84000005,USA,2666.252612,11.872372
California,US,5/12/2020 3:32,36.1162,-119.6816,69329,2779,null,66550,6,176.8208113,991897,null,4.008423603,84000006,USA,2529.793193,null
Colorado,US,5/12/2020 3:32,39.0598,-105.3111,19879,987,3076,15816,8,350.7968235,108790,3689,4.965038483,84000008,USA,1919.773954,18.55727149
Connecticut,US,5/12/2020 3:32,41.5978,-72.7554,33765,3008,5413,25344,9,947.0485826,132508,9389,8.9086332,84000009,USA,3716.61524,27.80690064
Delaware,US,5/12/2020 3:32,39.3185,-75.5071,6565,225,2619,3721,10,674.1879963,31928,null,3.427265804,84000010,USA,3278.823206,null
Diamond Princess,US,5/12/2020 3:32,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/12/2020 3:32,38.8974,-77.0268,6389,328,881,5180,11,905.2793557,30261,null,5.13382376,84000011,USA,4287.785034,null
Florida,US,5/12/2020 3:32,27.7663,-81.6868,40982,1735,null,39247,12,193.0144609,561057,7458,4.233565956,84000012,USA,2642.431174,18.19823337
Georgia,US,5/12/2020 3:32,33.0406,-83.6431,34002,1444,null,32558,13,335.3455182,251288,6015,4.246809011,84000013,USA,2478.333762,17.69013587
Grand Princess,US,5/12/2020 3:32,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/12/2020 3:32,13.4443,144.7937,151,5,124,22,66,91.94478442,3989,null,3.311258278,316,GUM,2428.925464,null
