Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,4/21/2020 11:40:34 PM,32.3182,-86.9023,5317,183,null,5134,1,113.3955384,48526,699,3.441790483,84000001,USA,1034.912902,13.14651119
Alaska,US,4/21/2020 11:40:34 PM,61.3707,-152.4044,329,9,168,320,2,55.03982441,11119,42,2.73556231,84000002,USA,1860.145312,12.76595745
American Samoa,US,4/21/2020 11:40:34 PM,-14.271,-170.132,0,0,null,null,60,0,3,null,null,16,ASM,5.391707554,null
Arizona,US,4/21/2020 11:40:34 PM,33.7298,-111.4312,5256,208,1155,5048,4,72.21052831,55152,637,3.95738204,84000004,USA,757.7159546,12.1194825
Arkansas,US,4/21/2020 11:40:34 PM,34.9697,-92.3731,1990,42,809,1948,5,76.86285234,27441,291,2.110552764,84000005,USA,1059.896247,14.62311558
California,US,4/21/2020 11:40:34 PM,36.1162,-119.6816,35465,1282,null,34183,6,90.45204855,300100,4886,3.614831524,84000006,USA,765.3929161,13.7769632
Colorado,US,4/21/2020 11:40:34 PM,39.0598,-105.3111,10473,483,null,9990,8,184.8128745,47466,1880,4.611859066,84000008,USA,837.613664,17.95092142
Connecticut,US,4/21/2020 11:40:34 PM,41.5978,-72.7554,20360,1423,null,18937,9,571.0620211,64192,1949,6.989194499,84000009,USA,1800.472164,9.572691552
Delaware,US,4/21/2020 11:40:34 PM,39.3185,-75.5071,2931,82,565,2849,10,300.9969561,16656,263,2.797679973,84000010,USA,1710.47605,8.973046742
Diamond Princess,US,4/21/2020 11:40:34 PM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,4/21/2020 11:40:34 PM,38.8974,-77.0268,3098,112,636,2986,11,438.9662614,14939,402,3.615235636,84000011,USA,2116.758224,12.97611362
Florida,US,4/21/2020 11:40:34 PM,27.7663,-81.6868,27869,867,null,27002,12,131.2556735,277059,4235,3.11098353,84000012,USA,1304.875153,15.19609602
Georgia,US,4/21/2020 11:40:34 PM,33.0406,-83.6431,19881,798,null,19083,13,196.0768263,88140,3779,4.013882601,84000013,USA,869.2828062,19.00809818
Grand Princess,US,4/21/2020 11:40:34 PM,null,null,103,0,0,103,99999,null,null,null,0,84099999,USA,null,null
Guam,US,4/21/2020 11:40:34 PM,13.4443,144.7937,136,5,114,131,66,82.81119656,1166,3,3.676470588,316,GUM,709.9842293,2.205882353
Hawaii,US,4/21/2020 11:40:34 PM,21.0943,-157.4983,586,10,423,576,15,41.39043613,24696,55,1.706484642,84000015,USA,1744.331417,9.385665529
Idaho,US,4/21/2020 11:40:34 PM,44.2405,-114.4788,1736,48,660,1688,16,107.7928118,17660,157,2.764976959,84000016,USA,1096.555908,9.043778802
Illinois,US,4/21/2020 11:40:34 PM,40.3495,-88.9861,33059,1468,null,31591,17,281.6971497,154997,4776,4.440545691,84000017,USA,1320.736051,14.44689797
Indiana,US,4/21/2020 11:40:34 PM,39.8494,-86.2583,12097,635,null,11462,18,184.8565265,67264,null,5.249235348,84000018,USA,1027.873803,null
Iowa,US,4/21/2020 11:40:34 PM,42.0115,-93.2105,3641,83,1293,3558,19,138.9316571,27615,214,2.279593518,84000019,USA,1053.720877,5.87750618
Kansas,US,4/21/2020 11:40:34 PM,38.5266,-96.7265,2164,109,null,2055,20,88.74351647,19101,419,5.036968577,84000020,USA,783.3132663,19.36229205
Kentucky,US,4/21/2020 11:40:34 PM,37.6681,-84.6701,3204,171,1174,3033,21,93.5938186,32820,1059,5.337078652,84000021,USA,958.723198,33.05243446
Louisiana,US,4/21/2020 11:40:34 PM,31.1695,-91.8678,24854,1405,null,23449,22,540.6256675,142430,1798,5.653013599,84000022,USA,3098.145724,7.234248008
Maine,US,4/21/2020 11:40:34 PM,44.6939,-69.3819,888,36,443,852,23,75.638455,14964,139,4.054054054,84000023,USA,1274.610181,15.65315315
Maryland,US,4/21/2020 11:40:34 PM,39.0639,-76.8021,14193,652,930,13541,24,238.8053172,73635,3158,4.593813852,84000024,USA,1238.950858,22.25040513
Massachusetts,US,4/21/2020 11:40:34 PM,42.2302,-71.5301,41199,1961,null,39238,25,600.2384695,175372,3872,4.759824268,84000025,USA,2555.03825,9.398286366
Michigan,US,4/21/2020 11:40:34 PM,43.3266,-84.5361,32667,2575,3237,30092,26,410.0155398,117226,3357,7.882572627,84000026,USA,1471.34667,10.27642575
Minnesota,US,4/21/2020 11:40:34 PM,45.6945,-93.9002,2567,160,1254,2407,27,51.89584603,47697,629,6.232956759,84000027,USA,964.2680826,24.50331126
Mississippi,US,4/21/2020 11:40:34 PM,32.7416,-89.6787,4716,183,null,4533,28,162.8899636,52364,858,3.880407125,84000028,USA,1808.64505,18.19338422
Missouri,US,4/21/2020 11:40:34 PM,38.4561,-92.2884,6066,224,null,5842,29,103.5249689,57120,1001,3.692713485,84000029,USA,974.8345239,16.50181339
Montana,US,4/21/2020 11:40:34 PM,46.9219,-110.4544,437,12,273,425,30,50.46265129,11241,59,2.745995423,84000030,USA,1298.056437,13.50114416
Nebraska,US,4/21/2020 11:40:34 PM,41.1254,-98.2681,1685,33,null,1652,31,110.4720994,16372,null,1.958456973,84000031,USA,1073.382321,null
Nevada,US,4/21/2020 11:40:34 PM,38.3135,-117.0554,3937,163,null,3774,32,130.506975,33055,null,4.14020828,84000032,USA,1095.734838,null
New Hampshire,US,4/21/2020 11:40:34 PM,43.4525,-71.5639,1490,42,521,1448,33,112.1862925,14339,206,2.818791946,84000033,USA,1079.623656,13.82550336
New Jersey,US,4/21/2020 11:40:34 PM,40.2989,-74.521,92387,4753,null,87634,34,1040.137624,184826,7594,5.14466321,84000034,USA,2080.860689,8.21977118
New Mexico,US,4/21/2020 11:40:34 PM,34.8405,-106.2485,1971,58,501,1913,35,118.1985604,38755,291,2.942668696,84000035,USA,2324.091937,14.76407915
New York,US,4/21/2020 11:40:34 PM,42.1657,-74.9481,258361,19104,23887,239257,36,1532.297117,649325,57103,7.394304868,84000036,USA,3851.041084,22.10202004
North Carolina,US,4/21/2020 11:40:34 PM,35.6301,-79.8064,7134,245,null,6889,37,71.93073113,83331,427,3.434258481,84000037,USA,840.2102265,5.985421923
North Dakota,US,4/21/2020 11:40:34 PM,47.5289,-99.784,644,13,214,631,38,106.1973754,14987,54,2.01863354,84000038,USA,2471.397617,8.385093168
Northern Mariana Islands,US,4/21/2020 11:40:34 PM,15.0979,145.6739,14,2,11,12,69,25.38807486,65,null,14.28571429,580,MNP,117.8732047,null
