Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/3/2020 2:32:33 AM,32.3182,-86.9023,7611,288,0,7323,1,162.3196244,92209,1023,3.783996847,84000001,USA,1966.539252,13.44107213
Alaska,US,5/3/2020 2:32:33 AM,61.3707,-152.4044,365,9,261,95,2,61.06241918,21399,null,2.465753425,84000002,USA,3579.930707,null
American Samoa,US,5/3/2020 2:32:33 AM,-14.271,-170.132,0,0,0,0,60,0,57,null,null,16,ASM,102.4424435,null
Arizona,US,5/3/2020 2:32:33 AM,33.7298,-111.4312,8364,330,1565,6469,4,114.9103613,77997,1339,3.945480631,84000004,USA,1071.576213,16.00908656
Arkansas,US,5/3/2020 2:32:33 AM,34.9697,-92.3731,3372,72,1987,1313,5,130.2419789,51582,414,2.135231317,84000005,USA,1992.331482,12.27758007
California,US,5/3/2020 2:32:33 AM,36.1162,-119.6816,53347,2180,0,51167,6,136.0593665,686803,null,4.086452846,84000006,USA,1751.663282,null
Colorado,US,5/3/2020 2:32:33 AM,39.0598,-105.3111,16225,832,2553,12840,8,286.3161357,76949,2747,5.12788906,84000008,USA,1357.888464,16.93066256
Connecticut,US,5/3/2020 2:32:33 AM,41.5978,-72.7554,29287,2436,4346,22505,9,821.4485959,100257,7758,8.317683614,84000009,USA,2812.031682,26.48956875
Delaware,US,5/3/2020 2:32:33 AM,39.3185,-75.5071,5038,168,1546,3324,10,517.3738195,23112,null,3.33465661,84000010,USA,2373.470369,null
Diamond Princess,US,5/3/2020 2:32:33 AM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/3/2020 2:32:33 AM,38.8974,-77.0268,4797,240,666,3891,11,679.7034073,22004,null,5.003126954,84000011,USA,3117.822342,null
Florida,US,5/3/2020 2:32:33 AM,27.7663,-81.6868,35463,1364,0,34099,12,167.0214198,416012,5945,3.846262302,84000012,USA,1959.307303,16.76395116
Georgia,US,5/3/2020 2:32:33 AM,33.0406,-83.6431,28331,1177,0,27154,13,279.4151484,174800,5387,4.154459779,84000013,USA,1723.969078,19.01450708
Grand Princess,US,5/3/2020 2:32:33 AM,null,null,103,3,0,100,99999,null,null,null,2.912621359,84099999,USA,null,null
