Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/4/2020 2:32:32 AM,32.3182,-86.9023,7888,290,0,7598,1,168.2271971,92500,1035,3.676470588,84000001,USA,1972.745403,13.12119675
Alaska,US,5/4/2020 2:32:32 AM,61.3707,-152.4044,368,9,262,97,2,61.56430207,21578,null,2.445652174,84000002,USA,3609.876386,null
American Samoa,US,5/4/2020 2:32:32 AM,-14.271,-170.132,0,0,0,0,60,0,57,null,null,16,ASM,102.4424435,null
Arizona,US,5/4/2020 2:32:32 AM,33.7298,-111.4312,8640,362,1597,6681,4,118.7022383,81119,1348,4.189814815,84000004,USA,1114.468388,15.60185185
Arkansas,US,5/4/2020 2:32:32 AM,34.9697,-92.3731,3437,76,1999,1362,5,132.7525746,52890,427,2.211230724,84000005,USA,2042.852392,12.42362525
California,US,5/4/2020 2:32:32 AM,36.1162,-119.6816,54903,2216,0,52687,6,140.0278816,715751,null,4.036209315,84000006,USA,1825.493986,null
Colorado,US,5/4/2020 2:32:32 AM,39.0598,-105.3111,16635,842,2607,13186,8,293.551243,79906,2793,5.061617072,84000008,USA,1410.069469,16.78990081
Connecticut,US,5/4/2020 2:32:32 AM,41.5978,-72.7554,29287,2436,4346,22505,9,821.4485959,102493,7758,8.317683614,84000009,USA,2874.747531,26.48956875
Delaware,US,5/4/2020 2:32:32 AM,39.3185,-75.5071,5208,177,1640,3391,10,534.8318484,23737,null,3.398617512,84000010,USA,2437.654298,null
Diamond Princess,US,5/4/2020 2:32:32 AM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/4/2020 2:32:32 AM,38.8974,-77.0268,5016,251,666,4099,11,710.7342695,23102,null,5.003987241,84000011,USA,3273.401733,null
Florida,US,5/4/2020 2:32:32 AM,27.7663,-81.6868,36078,1379,0,34699,12,169.9179083,428189,6244,3.822273962,84000012,USA,2016.657776,17.30694606
Georgia,US,5/4/2020 2:32:32 AM,33.0406,-83.6431,28665,1184,0,27481,13,282.7092312,175096,5393,4.130472702,84000013,USA,1726.888385,18.81388453
Grand Princess,US,5/4/2020 2:32:32 AM,null,null,103,3,0,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/4/2020 2:32:32 AM,13.4443,144.7937,145,5,126,14,66,88.29134927,3302,null,3.448275862,316,GUM,2010.60714,null
Hawaii,US,5/4/2020 2:32:32 AM,21.0943,-157.4983,620,17,541,62,15,43.79192901,32950,72,2.741935484,84000015,USA,2327.32913,11.61290323
Idaho,US,5/4/2020 2:32:32 AM,44.2405,-114.4788,2061,64,1267,730,16,127.9729177,29807,200,3.105288695,84000016,USA,1850.795127,9.704027171
Illinois,US,5/4/2020 2:32:32 AM,40.3495,-88.9861,61499,2618,0,58881,17,524.0356033,319313,null,4.256979788,84000017,USA,2720.879699,null
Indiana,US,5/4/2020 2:32:32 AM,39.8494,-86.2583,19933,1132,0,18801,18,304.5999125,108859,null,5.679024733,84000018,USA,1663.494801,null
Iowa,US,5/4/2020 2:32:32 AM,42.0115,-93.2105,9175,184,3325,5666,19,350.0955656,53186,null,2.005449591,84000019,USA,2029.447711,null
Kansas,US,5/4/2020 2:32:32 AM,38.5266,-96.7265,5156,144,286,4726,20,211.4425004,36778,547,2.792862684,84000020,USA,1508.22969,10.60899922
Kentucky,US,5/4/2020 2:32:32 AM,37.6681,-84.6701,5130,253,1752,3125,21,149.8552714,57649,1411,4.931773879,84000021,USA,1684.016869,27.50487329
Louisiana,US,5/4/2020 2:32:32 AM,31.1695,-91.8678,29340,2012,17303,10025,22,638.205403,176160,null,6.857532379,84000022,USA,3831.842665,null
Maine,US,5/4/2020 2:32:32 AM,44.6939,-69.3819,1185,57,706,422,23,100.9364518,20731,183,4.810126582,84000023,USA,1765.834246,15.44303797
Maryland,US,5/4/2020 2:32:32 AM,39.0639,-76.8021,25462,1281,1666,22515,24,428.4126673,132794,5051,5.031026628,84000024,USA,2234.334763,19.83740476
Massachusetts,US,5/4/2020 2:32:32 AM,42.2302,-71.5301,68087,4004,0,64083,25,991.9764235,314646,6507,5.880711443,84000025,USA,4584.155767,9.556890449
Michigan,US,5/4/2020 2:32:32 AM,43.3266,-84.5361,43801,4053,15659,24089,26,549.7624716,212532,null,9.253213397,84000026,USA,2667.567353,null
Minnesota,US,5/4/2020 2:32:32 AM,45.6945,-93.9002,6663,418,3015,3230,27,134.7027745,82632,1199,6.273450398,84000027,USA,1670.532742,17.99489719
Mississippi,US,5/4/2020 2:32:32 AM,32.7416,-89.6787,7550,303,3413,3834,28,260.7759172,77593,1298,4.013245033,84000028,USA,2680.051091,17.19205298
Missouri,US,5/4/2020 2:32:32 AM,38.4561,-92.2884,8618,381,0,8237,29,147.0785001,82976,null,4.420979346,84000029,USA,1416.104157,null
Montana,US,5/4/2020 2:32:32 AM,46.9219,-110.4544,455,16,404,35,30,52.54120443,15007,61,3.516483516,84000030,USA,1732.935945,13.40659341
Nebraska,US,5/4/2020 2:32:32 AM,41.1254,-98.2681,5661,78,0,5583,31,371.1469167,31262,null,1.377848437,84000031,USA,2049.601645,null
Nevada,US,5/4/2020 2:32:32 AM,38.3135,-117.0554,5472,258,182,5032,32,181.3904413,45269,null,4.714912281,84000032,USA,1500.614745,null
New Hampshire,US,5/4/2020 2:32:32 AM,43.4525,-71.5639,2518,86,1107,1325,33,189.587305,28393,277,3.415409055,84000033,USA,2137.788861,11.00079428
New Jersey,US,5/4/2020 2:32:32 AM,40.2989,-74.521,126744,7871,15642,103231,34,1426.945382,275066,null,6.210155905,84000034,USA,3096.826346,null
New Mexico,US,5/4/2020 2:32:32 AM,34.8405,-106.2485,3850,151,812,2887,35,230.8799886,74944,587,3.922077922,84000035,USA,4494.303861,15.24675325
New York,US,5/4/2020 2:32:32 AM,42.1657,-74.9481,316415,24708,58950,232757,36,1876.60596,985911,68736,7.808732203,84000036,USA,5847.277968,21.72336963
North Carolina,US,5/4/2020 2:32:32 AM,35.6301,-79.8064,11770,434,0,11336,37,118.6746153,143835,null,3.687340697,84000037,USA,1450.260262,null
North Dakota,US,5/4/2020 2:32:32 AM,47.5289,-99.784,1191,25,517,649,38,196.3991834,33353,90,2.099076406,84000038,USA,5500.001649,7.556675063
Northern Mariana Islands,US,5/4/2020 2:32:32 AM,15.0979,145.6739,14,2,12,0,69,25.38807486,1335,null,14.28571429,580,MNP,2420.934281,null
Ohio,US,5/4/2020 2:32:32 AM,40.3888,-82.7649,19914,1039,0,18875,39,178.2195231,150166,3769,5.21743497,84000039,USA,1343.904434,18.92638345
Oklahoma,US,5/4/2020 2:32:32 AM,35.5653,-96.9289,3972,238,2635,1099,40,108.5947911,63776,743,5.991943605,84000040,USA,1743.640834,18.70594159
Oregon,US,5/4/2020 2:32:32 AM,44.572,-122.0709,2680,109,860,1711,41,66.88171968,62054,598,4.067164179,84000041,USA,1548.611281,22.31343284
Pennsylvania,US,5/4/2020 2:32:32 AM,40.5908,-77.2098,51225,2720,0,48505,42,406.9514376,240641,null,5.309907272,84000042,USA,1911.746235,null
Puerto Rico,US,5/4/2020 2:32:32 AM,18.2208,-66.5901,1808,97,0,1711,72,61.63479475,11121,null,5.365044248,630,PRI,379.1153498,null
Rhode Island,US,5/4/2020 2:32:32 AM,41.6809,-71.5118,9477,320,565,8592,44,894.5958932,71927,1013,3.376595969,84000044,USA,6789.659049,10.68903661
South Carolina,US,5/4/2020 2:32:32 AM,33.8569,-80.945,6626,275,3622,2729,45,131.4689061,64188,1110,4.150316933,84000045,USA,1273.577746,16.75218835
South Dakota,US,5/4/2020 2:32:32 AM,44.2998,-99.4388,2631,21,1799,811,46,357.525289,18417,197,0.798175599,84000046,USA,2502.677023,7.487647282
Tennessee,US,5/4/2020 2:32:32 AM,35.7478,-86.6923,13177,210,5814,7153,47,200.7180885,204607,1135,1.593685968,84000047,USA,3116.66737,8.613493208
Texas,US,5/4/2020 2:32:32 AM,31.0545,-97.5635,31998,878,15544,15576,48,139.2151888,390560,null,2.743921495,84000048,USA,1699.227582,null
Utah,US,5/4/2020 2:32:32 AM,40.15,-111.8624,5175,50,2238,2887,49,180.5726823,122102,436,0.966183575,84000049,USA,4260.538292,8.425120773
Vermont,US,5/4/2020 2:32:32 AM,44.0459,-72.7107,897,53,0,844,50,146.9068493,16954,null,5.908584169,84000050,USA,2776.654094,null
Virgin Islands,US,5/4/2020 2:32:32 AM,18.3358,-64.8963,66,4,51,11,78,61.52813514,1017,null,6.060606061,850,VIR,948.0926278,null
Virginia,US,5/4/2020 2:32:32 AM,37.7693,-78.17,18672,660,2497,15515,51,236.138319,108002,3910,3.53470437,84000051,USA,1365.863899,20.94044559
Washington,US,5/4/2020 2:32:32 AM,47.4009,-121.4905,15185,834,0,14351,53,201.1417327,207315,null,5.492262101,84000053,USA,2746.111183,null
West Virginia,US,5/4/2020 2:32:32 AM,38.4912,-80.9545,1195,48,611,536,54,90.32515544,51638,null,4.016736402,84000054,USA,3903.104918,null
Wisconsin,US,5/4/2020 2:32:32 AM,44.2685,-89.6165,7964,339,3723,3902,55,153.9064784,85961,1608,4.256654947,84000055,USA,1661.219838,20.19085886
Wyoming,US,5/4/2020 2:32:32 AM,42.756,-107.3025,586,7,391,188,56,117.850535,10219,60,1.194539249,84000056,USA,2055.144397,10.23890785
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
