Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/14/2020 3:32,32.3182,-86.9023,10700,450,null,10250,1,228.1986574,136372,1317,4.205607477,84000001,USA,2908.402552,12.30841121
Alaska,US,5/14/2020 3:32,61.3707,-152.4044,383,10,338,35,2,64.07371656,30649,null,2.610966057,84000002,USA,5127.402973,null
American Samoa,US,5/14/2020 3:32,-14.271,-170.132,0,0,null,0,60,0,105,null,null,16,ASM,188.7097644,null
Arizona,US,5/14/2020 3:32,33.7298,-111.4312,12216,595,2979,8642,4,167.8317758,127750,1590,4.870661428,84000004,USA,1755.117008,13.01571709
Arkansas,US,5/14/2020 3:32,34.9697,-92.3731,4236,97,3220,919,5,163.6135892,73215,497,2.289896128,84000005,USA,2827.896349,11.73276676
California,US,5/14/2020 3:32,36.1162,-119.6816,72798,2957,null,69841,6,185.6683556,1065592,null,4.061924778,84000006,USA,2717.749311,null
Colorado,US,5/14/2020 3:32,39.0598,-105.3111,20475,1062,3171,16242,8,361.314199,111250,3695,5.186813187,84000008,USA,1963.184598,18.04639805
Connecticut,US,5/14/2020 3:32,41.5978,-72.7554,34855,3125,5413,26317,9,977.6211564,142943,9389,8.965715105,84000009,USA,4009.29855,26.93731172
Delaware,US,5/14/2020 3:32,39.3185,-75.5071,6952,247,2942,3763,10,713.9306855,34753,null,3.552934407,84000010,USA,3568.934567,null
Diamond Princess,US,5/14/2020 3:32,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/14/2020 3:32,38.8974,-77.0268,6584,350,934,5300,11,932.9095755,31658,null,5.315917375,84000011,USA,4485.730763,null
Florida,US,5/14/2020 3:32,27.7663,-81.6868,42402,1827,null,40575,12,199.7022881,594763,7835,4.308759021,84000012,USA,2801.177585,18.47790199
Georgia,US,5/14/2020 3:32,33.0406,-83.6431,35427,1517,null,33910,13,349.399614,273904,6259,4.282044768,84000013,USA,2701.38459,17.66731589
