Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,4/22/2020 11:40:26 PM,32.3182,-86.9023,5593,196,null,5397,1,119.2817842,48760,730,3.504380476,84000001,USA,1039.903414,13.05202932
Alaska,US,4/22/2020 11:40:26 PM,61.3707,-152.4044,335,9,196,326,2,56.0435902,12159,39,2.686567164,84000002,USA,2034.131383,11.64179104
American Samoa,US,4/22/2020 11:40:26 PM,-14.271,-170.132,0,0,null,null,60,0,3,null,null,16,ASM,5.391707554,null
Arizona,US,4/22/2020 11:40:26 PM,33.7298,-111.4312,5473,231,1265,5242,4,75.19182295,56601,664,4.220719898,84000004,USA,777.6233092,12.13228577
Arkansas,US,4/22/2020 11:40:26 PM,34.9697,-92.3731,2276,42,863,2234,5,87.90947333,29713,291,1.845342707,84000005,USA,1147.651222,12.78558875
California,US,4/22/2020 11:40:26 PM,36.1162,-119.6816,37344,1421,null,35923,6,95.24436208,465327,4984,3.805162811,84000006,USA,1186.797699,13.3461868
Colorado,US,4/22/2020 11:40:26 PM,39.0598,-105.3111,10891,506,null,10385,8,192.1891546,48704,2003,4.646038013,84000008,USA,859.4601586,18.39133229
Connecticut,US,4/22/2020 11:40:26 PM,41.5978,-72.7554,22469,1544,null,20925,9,630.2157442,69918,1972,6.871689884,84000009,USA,1961.076345,8.776536561
Delaware,US,4/22/2020 11:40:26 PM,39.3185,-75.5071,3200,89,599,3111,10,328.6217194,16553,269,2.78125,84000010,USA,1699.898538,8.40625
Diamond Princess,US,4/22/2020 11:40:26 PM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,4/22/2020 11:40:26 PM,38.8974,-77.0268,3206,127,645,3079,11,454.2691523,15502,402,3.96132252,84000011,USA,2196.531628,12.53898939
Florida,US,4/22/2020 11:40:26 PM,27.7663,-81.6868,28309,893,null,27416,12,133.327958,288627,4469,3.154473842,84000012,USA,1359.357396,15.78649899
Georgia,US,4/22/2020 11:40:26 PM,33.0406,-83.6431,21214,848,null,20366,13,209.2235699,94072,3959,3.997360234,84000013,USA,927.7872946,18.6622042
Grand Princess,US,4/22/2020 11:40:26 PM,null,null,103,0,0,103,99999,null,null,null,0,84099999,USA,null,null
