Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/15/2020 2:33,32.3182,-86.9023,11101,473,null,10628,1,226.4038579,141985,1350,4.260877398,84000001,USA,2895.77081,12.16106657
Alaska,US,5/15/2020 2:33,61.3707,-152.4044,383,10,339,34,2,52.35494741,31762,null,2.610966057,84000002,USA,4341.769816,null
American Samoa,US,5/15/2020 2:33,-14.271,-170.132,0,0,null,0,60,0,105,null,null,16,ASM,188.7097644,null
Arizona,US,5/15/2020 2:33,33.7298,-111.4312,12674,624,3074,8976,4,174.1240936,134338,1636,4.923465362,84000004,USA,1845.627464,12.90831624
Arkansas,US,5/15/2020 2:33,34.9697,-92.3731,4366,98,3277,991,5,144.674737,75818,509,2.244617499,84000005,USA,2512.356667,11.65826844
California,US,5/15/2020 2:33,36.1162,-119.6816,74871,3052,null,71819,6,189.4881996,1104651,null,4.076344646,84000006,USA,2795.719694,null
Colorado,US,5/15/2020 2:33,39.0598,-105.3111,20838,1086,3217,16535,8,361.8502394,114519,3735,5.211632594,84000008,USA,1988.613474,17.92398503
Connecticut,US,5/15/2020 2:33,41.5978,-72.7554,35464,3219,6264,25981,9,994.7025303,149562,10946,9.076810286,84000009,USA,4194.949803,30.86510264
Delaware,US,5/15/2020 2:33,39.3185,-75.5071,7223,260,3080,3883,10,741.7608373,36857,null,3.599612349,84000010,USA,3785.003348,null
Diamond Princess,US,5/15/2020 2:33,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/15/2020 2:33,38.8974,-77.0268,6736,358,966,5412,11,954.4469776,32999,null,5.314726841,84000011,USA,4675.741659,null
Florida,US,5/15/2020 2:33,27.7663,-81.6868,43210,1875,null,41335,12,201.185069,608837,7993,4.339273316,84000012,USA,2834.735335,18.49803286
Georgia,US,5/15/2020 2:33,33.0406,-83.6431,35977,1545,null,34432,13,338.8487018,285881,6345,4.294410318,84000013,USA,2692.564853,17.63626762
Grand Princess,US,5/15/2020 2:33,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/15/2020 2:33,13.4443,144.7937,152,5,124,23,66,92.55369027,4379,null,3.289473684,316,GUM,2666.398748,null
Hawaii,US,5/15/2020 2:33,21.0943,-157.4983,637,17,563,57,15,44.98994259,38881,81,2.668759812,84000015,USA,2746.081567,12.71585557
Idaho,US,5/15/2020 2:33,44.2405,-114.4788,2351,72,1557,722,16,131.5564907,33754,212,3.062526584,84000016,USA,1888.795315,9.017439387
Illinois,US,5/15/2020 2:33,40.3495,-88.9861,87937,3928,null,84009,17,693.9570879,512037,null,4.466834211,84000017,USA,4040.753101,null
Indiana,US,5/15/2020 2:33,39.8494,-86.2583,26053,1646,null,24407,18,386.9897875,160239,4389,6.317890454,84000018,USA,2380.181037,16.84642843
Iowa,US,5/15/2020 2:33,42.0115,-93.2105,13675,318,6231,7126,19,433.4293692,89294,null,2.325411335,84000019,USA,2830.174925,null
Kansas,US,5/15/2020 2:33,38.5266,-96.7265,7705,189,422,7094,20,264.4754393,57628,704,2.452952628,84000020,USA,1978.09093,9.136924075
Kentucky,US,5/15/2020 2:33,37.6681,-84.6701,7225,328,2649,4248,21,161.7172967,117395,1835,4.539792388,84000021,USA,2627.654262,25.39792388
Louisiana,US,5/15/2020 2:33,31.1695,-91.8678,33489,2417,22608,8464,22,720.3803825,247588,null,7.217295231,84000022,USA,5325.854404,null
Maine,US,5/15/2020 2:33,44.6939,-69.3819,1565,69,958,538,23,116.4250877,23657,207,4.408945687,84000023,USA,1759.915847,13.22683706
Maryland,US,5/15/2020 2:33,39.0639,-76.8021,35903,1866,2569,31468,24,593.8620635,178454,6553,5.19733727,84000024,USA,2951.760596,18.25195666
Massachusetts,US,5/15/2020 2:33,42.2302,-71.5301,82182,5482,null,76700,25,1192.33898,410032,8032,6.670560463,84000025,USA,5948.956424,9.773429705
Michigan,US,5/15/2020 2:33,43.3266,-84.5361,49582,4787,22686,22109,26,496.4725138,335883,null,9.654713404,84000026,USA,3363.25032,null
Minnesota,US,5/15/2020 2:33,45.6945,-93.9002,13435,672,8473,4290,27,238.2247636,128752,1915,5.001860811,84000027,USA,2282.98584,14.25381466
