Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
North Carolina,US,5/5/2020 2:32:38 AM,35.6301,-79.8064,11971,442,0,11529,37,120.7012591,146439,null,3.692256286,84000037,USA,1476.515887,null
North Dakota,US,5/5/2020 2:32:38 AM,47.5289,-99.784,1225,25,540,660,38,202.0058771,34754,94,2.040816327,84000038,USA,5731.030411,7.673469388
Northern Mariana Islands,US,5/5/2020 2:32:38 AM,15.0979,145.6739,14,2,12,0,69,25.38807486,1335,null,14.28571429,580,MNP,2420.934281,null
Ohio,US,5/5/2020 2:32:38 AM,40.3888,-82.7649,20474,1057,0,19417,39,183.23122,155155,3809,5.162645306,84000039,USA,1388.553284,18.60408323
Oklahoma,US,5/5/2020 2:32:38 AM,35.5653,-96.9289,4044,238,2682,1124,40,110.5632767,63848,753,5.885262117,84000040,USA,1745.60932,18.62017804
Oregon,US,5/5/2020 2:32:38 AM,44.572,-122.0709,2759,109,860,1790,41,68.85323306,63457,608,3.950706778,84000041,USA,1583.62436,22.03696992
Pennsylvania,US,5/5/2020 2:32:38 AM,40.5908,-77.2098,52816,2838,0,49978,42,419.590964,245590,null,5.373371706,84000042,USA,1951.063027,null
Puerto Rico,US,5/5/2020 2:32:38 AM,18.2208,-66.5901,1843,97,0,1746,72,62.8279462,11156,null,5.263157895,630,PRI,380.3085012,null
Rhode Island,US,5/5/2020 2:32:38 AM,41.6809,-71.5118,9652,341,601,8710,44,911.1152855,74136,1061,3.53294654,84000044,USA,6998.180979,10.99254041
South Carolina,US,5/5/2020 2:32:38 AM,33.8569,-80.945,6757,283,3622,2852,45,134.0681253,64188,1110,4.188249223,84000045,USA,1273.577746,16.42740861
South Dakota,US,5/5/2020 2:32:38 AM,44.2998,-99.4388,2668,21,1830,817,46,362.5532007,18713,211,0.787106447,84000046,USA,2542.900317,7.908545727
Tennessee,US,5/5/2020 2:32:38 AM,35.7478,-86.6923,13571,219,6081,7271,47,206.7196766,211443,1143,1.613735171,84000047,USA,3220.796447,8.422371233
Texas,US,5/5/2020 2:32:38 AM,31.0545,-97.5635,32783,901,16090,15792,48,142.6305249,407398,null,2.748375683,84000048,USA,1772.485452,null
Utah,US,5/5/2020 2:32:38 AM,40.15,-111.8624,5317,50,2342,2925,49,185.527527,124661,441,0.940379913,84000049,USA,4349.830174,8.294150837
Vermont,US,5/5/2020 2:32:38 AM,44.0459,-72.7107,902,52,0,850,50,147.725728,17332,null,5.764966741,84000050,USA,2838.561328,null
Virgin Islands,US,5/5/2020 2:32:38 AM,18.3358,-64.8963,66,4,51,11,78,61.52813514,1031,null,6.060606061,850,VIR,961.1440504,null
Virginia,US,5/5/2020 2:32:38 AM,37.7693,-78.17,19493,684,2547,16262,51,246.5212217,112293,4010,3.508951931,84000051,USA,1420.130691,20.5714872
Washington,US,5/5/2020 2:32:38 AM,47.4009,-121.4905,15462,841,0,14621,53,204.810897,212005,null,5.43914112,84000053,USA,2808.2353,null
West Virginia,US,5/5/2020 2:32:38 AM,38.4912,-80.9545,1224,48,611,565,54,92.51714666,53239,null,3.921568627,84000054,USA,4024.11795,null
Wisconsin,US,5/5/2020 2:32:38 AM,44.2685,-89.6165,8236,340,3973,3923,55,159.1629528,88703,1621,4.128217581,84000055,USA,1714.209738,19.68188441
Wyoming,US,5/5/2020 2:32:38 AM,42.756,-107.3025,596,7,391,198,56,119.8616362,10454,60,1.174496644,84000056,USA,2102.405277,10.06711409
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
