Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/10/2020 2:32:34 AM,32.3182,-86.9023,9668,390,null,9278,1,206.1892168,125494,1228,4.033926355,84000001,USA,2676.407692,12.70169632
Alaska,US,5/10/2020 2:32:34 AM,61.3707,-152.4044,378,10,318,50,2,63.23724506,26449,null,2.645502646,84000002,USA,4424.766917,null
American Samoa,US,5/10/2020 2:32:34 AM,-14.271,-170.132,0,0,null,0,60,0,83,null,null,16,ASM,149.1705757,null
Arizona,US,5/10/2020 2:32:34 AM,33.7298,-111.4312,10960,532,2684,7744,4,150.5759875,128940,1514,4.854014599,84000004,USA,1771.466043,13.81386861
Arkansas,US,5/10/2020 2:32:34 AM,34.9697,-92.3731,3747,88,2968,691,5,144.7261848,65528,471,2.348545503,84000005,USA,2530.989441,12.57005604
California,US,5/10/2020 2:32:34 AM,36.1162,-119.6816,66558,2687,null,63871,6,169.7534879,912570,null,4.037080441,84000006,USA,2327.472887,null
Colorado,US,5/10/2020 2:32:34 AM,39.0598,-105.3111,19375,967,2974,15434,8,341.9029356,96772,3600,4.990967742,84000008,USA,1707.697078,18.58064516
Connecticut,US,5/10/2020 2:32:34 AM,41.5978,-72.7554,32984,2932,5413,24639,9,925.1429128,123569,9389,8.88915838,84000009,USA,3465.892087,28.46531652
Delaware,US,5/10/2020 2:32:34 AM,39.3185,-75.5071,6277,221,2450,3606,10,644.6120415,29296,null,3.520790186,84000010,USA,3008.531841,null
Diamond Princess,US,5/10/2020 2:32:34 AM,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/10/2020 2:32:34 AM,38.8974,-77.0268,6102,311,879,4912,11,864.6133399,28183,null,5.09668961,84000011,USA,3993.346076,null
Florida,US,5/10/2020 2:32:34 AM,27.7663,-81.6868,40001,1715,null,38286,12,188.3942084,527731,7325,4.287392815,84000012,USA,2485.474463,18.3120422
Georgia,US,5/10/2020 2:32:34 AM,33.0406,-83.6431,32588,1403,null,31185,13,321.3999102,235324,5987,4.305265742,84000013,USA,2320.88844,18.3717933
Grand Princess,US,5/10/2020 2:32:34 AM,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/10/2020 2:32:34 AM,13.4443,144.7937,151,5,124,22,66,91.94478442,3794,null,3.311258278,316,GUM,2310.188822,null
Hawaii,US,5/10/2020 2:32:34 AM,21.0943,-157.4983,631,17,566,48,15,44.56888259,36262,81,2.694136292,84000015,USA,2561.26279,12.83676704
Idaho,US,5/10/2020 2:32:34 AM,44.2405,-114.4788,2205,67,1442,696,16,136.9142569,31806,206,3.038548753,84000016,USA,1974.918302,9.342403628
Illinois,US,5/10/2020 2:32:34 AM,40.3495,-88.9861,76085,3349,null,72736,17,648.3235317,416331,null,4.401656043,84000017,USA,3547.574217,null
Indiana,US,5/10/2020 2:32:34 AM,39.8494,-86.2583,23732,1490,null,22242,18,362.6531442,135686,4389,6.278442609,84000018,USA,2073.443221,18.49401652
Iowa,US,5/10/2020 2:32:34 AM,42.0115,-93.2105,11671,252,5011,6408,19,445.3368225,71476,null,2.159198012,84000019,USA,2727.349389,null
Kansas,US,5/10/2020 2:32:34 AM,38.5266,-96.7265,6829,174,350,6305,20,280.0505887,49933,635,2.547957241,84000020,USA,2047.703331,9.298579587
Kentucky,US,5/10/2020 2:32:34 AM,37.6681,-84.6701,6440,304,2266,3870,21,188.1224069,86447,1696,4.720496894,84000021,USA,2525.251197,26.33540373
