Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/6/2020 2:32:35 AM,32.3182,-86.9023,8437,315,null,8122,1,179.9357077,106766,1107,3.733554581,84000001,USA,2276.996061,13.12077753
Alaska,US,5/6/2020 2:32:35 AM,61.3707,-152.4044,371,9,277,85,2,62.06618497,22692,null,2.425876011,84000002,USA,3796.242235,null
American Samoa,US,5/6/2020 2:32:35 AM,-14.271,-170.132,0,0,null,0,60,0,83,null,null,16,ASM,149.1705757,null
Arizona,US,5/6/2020 2:32:35 AM,33.7298,-111.4312,9305,395,1671,7239,4,127.8384638,88260,1397,4.245029554,84000004,USA,1212.576337,15.01343364
Arkansas,US,5/6/2020 2:32:35 AM,34.9697,-92.3731,3525,83,2041,1401,5,136.1515349,54635,453,2.354609929,84000005,USA,2110.25223,12.85106383
California,US,5/6/2020 2:32:35 AM,36.1162,-119.6816,58456,2381,null,56075,6,149.0896645,779902,null,4.073149035,84000006,USA,1989.108517,null
Colorado,US,5/6/2020 2:32:35 AM,39.0598,-105.3111,17367,903,2743,13721,8,306.4685565,85004,2838,5.199516324,84000008,USA,1500.031852,16.34133702
Connecticut,US,5/6/2020 2:32:35 AM,41.5978,-72.7554,30621,2633,4346,23642,9,858.8649385,108643,7758,8.598674113,84000009,USA,3047.244163,25.33555403
Delaware,US,5/6/2020 2:32:35 AM,39.3185,-75.5071,5371,187,1847,3337,10,551.5710172,24680,null,3.481660771,84000010,USA,2534.495011,null
Diamond Princess,US,5/6/2020 2:32:35 AM,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/6/2020 2:32:35 AM,38.8974,-77.0268,5322,264,667,4391,11,754.0924606,24329,null,4.96054115,84000011,USA,3447.259578,null
Florida,US,5/6/2020 2:32:35 AM,27.7663,-81.6868,37439,1471,null,35968,12,176.327861,465691,6546,3.929057934,84000012,USA,2193.282351,17.48444136
Georgia,US,5/6/2020 2:32:35 AM,33.0406,-83.6431,29998,1299,null,28699,13,295.8559748,200883,5634,4.330288686,84000013,USA,1981.213274,18.78125208
Grand Princess,US,5/6/2020 2:32:35 AM,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/6/2020 2:32:35 AM,13.4443,144.7937,145,5,124,16,66,88.29134927,3490,null,3.448275862,316,GUM,2125.081441,null
Hawaii,US,5/6/2020 2:32:35 AM,21.0943,-157.4983,625,17,548,60,15,44.14508972,33999,73,2.72,84000015,USA,2401.422249,11.68
Idaho,US,5/6/2020 2:32:35 AM,44.2405,-114.4788,2127,65,1358,704,16,132.0710315,30308,201,3.055947344,84000016,USA,1881.903537,9.449929478
Illinois,US,5/6/2020 2:32:35 AM,40.3495,-88.9861,65889,2834,null,63055,17,561.4429806,346286,null,4.301173185,84000017,USA,2950.717783,null
Indiana,US,5/6/2020 2:32:35 AM,39.8494,-86.2583,21033,1211,null,19822,18,321.4092189,115834,null,5.75761898,84000018,USA,1770.081085,null
Iowa,US,5/6/2020 2:32:35 AM,42.0115,-93.2105,10111,207,3572,6332,19,385.8110369,60569,null,2.047275245,84000019,USA,2311.164939,null
Kansas,US,5/6/2020 2:32:35 AM,38.5266,-96.7265,5648,161,296,5191,20,231.6189376,40092,566,2.850566572,84000020,USA,1644.133578,10.02124646
Kentucky,US,5/6/2020 2:32:35 AM,37.6681,-84.6701,5822,275,1892,3655,21,170.0696666,60047,1529,4.723462728,84000021,USA,1754.066175,26.26245277
Louisiana,US,5/6/2020 2:32:35 AM,31.1695,-91.8678,29996,2115,20316,7565,22,652.4747535,188231,null,7.050940125,84000022,USA,4094.411766,null
Maine,US,5/6/2020 2:32:35 AM,44.6939,-69.3819,1226,61,741,424,23,104.4287678,20772,187,4.975530179,84000023,USA,1769.326562,15.25285481
Maryland,US,5/6/2020 2:32:35 AM,39.0639,-76.8021,27117,1390,1810,23917,24,456.2589859,140103,5337,5.12593576,84000024,USA,2357.312855,19.68138068
Massachusetts,US,5/6/2020 2:32:35 AM,42.2302,-71.5301,70271,4212,null,66059,25,1023.795662,333349,6831,5.993937755,84000025,USA,4856.644422,9.720937513
Michigan,US,5/6/2020 2:32:35 AM,43.3266,-84.5361,44451,4183,15659,24609,26,557.9208609,222836,null,9.410361972,84000026,USA,2796.896649,null
Minnesota,US,5/6/2020 2:32:35 AM,45.6945,-93.9002,7851,455,4614,2782,27,158.7200184,88009,1350,5.795440071,84000027,USA,1779.237052,17.19526175
Mississippi,US,5/6/2020 2:32:35 AM,32.7416,-89.6787,8207,342,4421,3444,28,283.4686029,80308,1352,4.167174363,84000028,USA,2773.826802,16.47374193
Missouri,US,5/6/2020 2:32:35 AM,38.4561,-92.2884,9121,409,null,8712,29,155.6629148,95066,null,4.484157439,84000029,USA,1622.437305,null
Montana,US,5/6/2020 2:32:35 AM,46.9219,-110.4544,456,16,410,30,30,52.6566796,15272,62,3.50877193,84000030,USA,1763.536866,13.59649123
Nebraska,US,5/6/2020 2:32:35 AM,41.1254,-98.2681,6373,78,null,6295,31,417.8271154,34609,null,1.223913385,84000031,USA,2269.037916,null
Nevada,US,5/6/2020 2:32:35 AM,38.3135,-117.0554,5660,270,200,5190,32,187.6224228,47884,null,4.770318021,84000032,USA,1587.298956,null
New Hampshire,US,5/6/2020 2:32:35 AM,43.4525,-71.5639,2636,92,1019,1525,33,198.4718571,26870,286,3.490136571,84000033,USA,2023.117906,10.84977238
