Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,4/27/2020 2:32:46 AM,32.3182,-86.9023,6421,219,null,6202,1,136.9405214,73551,845,3.410683694,84000001,USA,1568.620509,13.15994393
Alaska,US,4/27/2020 2:32:46 AM,61.3707,-152.4044,340,9,217,331,2,56.8800617,16177,14,2.647058824,84000002,USA,2706.319877,4.117647059
American Samoa,US,4/27/2020 2:32:46 AM,-14.271,-170.132,0,0,null,null,60,0,3,null,null,16,ASM,5.391707554,null
Arizona,US,4/27/2020 2:32:46 AM,33.7298,-111.4312,6534,275,1383,6259,4,89.76856773,64811,1037,4.208754209,84000004,USA,890.4179129,15.87082951
Arkansas,US,4/27/2020 2:32:46 AM,34.9697,-92.3731,3001,51,985,2950,5,115.9122713,39469,291,1.699433522,84000005,USA,1524.472321,9.696767744
California,US,4/27/2020 2:32:46 AM,36.1162,-119.6816,43558,1725,null,41833,6,111.0929178,526084,4928,3.960236925,84000006,USA,1341.755971,11.31365076
Colorado,US,4/27/2020 2:32:46 AM,39.0598,-105.3111,13441,688,2150,12753,8,237.1879926,59791,2410,5.118666766,84000008,USA,1055.108048,17.93021353
Connecticut,US,4/27/2020 2:32:46 AM,41.5978,-72.7554,25269,1924,null,23345,9,708.7507962,79811,1766,7.614072579,84000009,USA,2238.557513,6.988800507
Delaware,US,4/27/2020 2:32:46 AM,39.3185,-75.5071,4034,120,911,3914,10,414.2687551,19249,317,2.974714923,84000010,USA,1976.762337,7.858205255
Diamond Princess,US,4/27/2020 2:32:46 AM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,4/27/2020 2:32:46 AM,38.8974,-77.0268,3841,178,657,3663,11,544.2444835,18068,402,4.634209841,84000011,USA,2560.116982,10.46602447
Florida,US,4/27/2020 2:32:46 AM,27.7663,-81.6868,31532,1075,null,30457,12,148.5074418,344613,5155,3.409235063,84000012,USA,1623.036758,16.34847139
Georgia,US,4/27/2020 2:32:46 AM,33.0406,-83.6431,23486,916,null,22570,13,231.6312229,123223,4359,3.900195861,84000013,USA,1215.289712,18.55999319
Grand Princess,US,4/27/2020 2:32:46 AM,null,null,103,3,0,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,4/27/2020 2:32:46 AM,13.4443,144.7937,141,5,128,136,66,85.85572585,1528,2,3.546099291,316,GUM,930.4081496,1.418439716
Hawaii,US,4/27/2020 2:32:46 AM,21.0943,-157.4983,606,14,482,592,15,42.803079,28483,68,2.310231023,84000015,USA,2011.815345,11.22112211
Idaho,US,4/27/2020 2:32:46 AM,44.2405,-114.4788,1897,56,938,1841,16,117.7897258,19565,169,2.95202952,84000016,USA,1214.842375,8.908803374
Illinois,US,4/27/2020 2:32:46 AM,40.3495,-88.9861,43903,1933,null,41970,17,374.0993364,214952,4595,4.402888185,84000017,USA,1831.615164,10.46625515
Indiana,US,4/27/2020 2:32:46 AM,39.8494,-86.2583,15012,813,null,14199,18,229.4011883,81708,1446,5.415667466,84000018,USA,1248.595277,9.632294165
Iowa,US,4/27/2020 2:32:46 AM,42.0115,-93.2105,5476,118,1900,5358,19,208.9507703,36090,286,2.15485756,84000019,USA,1377.106154,5.222790358
Kansas,US,4/27/2020 2:32:46 AM,38.5266,-96.7265,3277,121,null,3156,20,134.3865543,26227,485,3.692401587,84000020,USA,1075.543534,14.80012206
Kentucky,US,4/27/2020 2:32:46 AM,37.6681,-84.6701,4085,208,1501,3877,21,119.3291976,46558,1266,5.091799266,84000021,USA,1360.031525,30.99143207
Louisiana,US,4/27/2020 2:32:46 AM,31.1695,-91.8678,26773,1729,14927,25044,22,582.3678682,143036,1701,6.45799873,84000022,USA,3111.327472,6.353415755
Maine,US,4/27/2020 2:32:46 AM,44.6939,-69.3819,1015,50,532,965,23,86.45611692,17799,159,4.926108374,84000023,USA,1516.091059,15.66502463
Maryland,US,4/27/2020 2:32:46 AM,39.0639,-76.8021,18581,910,1177,17671,24,312.6359191,96665,3962,4.897475916,84000024,USA,1626.443739,21.32285668
Massachusetts,US,4/27/2020 2:32:46 AM,42.2302,-71.5301,54938,2899,null,52039,25,800.4053748,236100,5104,5.276857549,84000025,USA,3439.799574,9.290472897
Michigan,US,4/27/2020 2:32:46 AM,43.3266,-84.5361,37778,3315,8342,34463,26,474.1655819,193879,2757,8.774948383,84000026,USA,2433.446685,7.297898248
Minnesota,US,4/27/2020 2:32:46 AM,45.6945,-93.9002,3602,272,1774,3330,27,72.81996003,58987,829,7.551360355,84000027,USA,1192.512766,23.01499167
Mississippi,US,4/27/2020 2:32:46 AM,32.7416,-89.6787,5911,227,null,5684,28,204.1650922,60788,1001,3.84029775,84000028,USA,2099.608802,16.93452884
Missouri,US,4/27/2020 2:32:46 AM,38.4561,-92.2884,7120,283,null,6837,29,121.5129869,69748,679,3.974719101,84000029,USA,1190.349411,9.536516854
Montana,US,4/27/2020 2:32:46 AM,46.9219,-110.4544,448,14,339,434,30,51.73287821,12862,61,3.125,84000030,USA,1485.241695,13.61607143
Nebraska,US,4/27/2020 2:32:46 AM,41.1254,-98.2681,3028,56,null,2972,31,198.5219685,21228,null,1.849405548,84000031,USA,1391.751766,null
Nevada,US,4/27/2020 2:32:46 AM,38.3135,-117.0554,4734,206,null,4528,32,156.9265989,38186,null,4.351499789,84000032,USA,1265.821526,null
