Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/19/2020 2:32:23 AM,32.3182,-86.9023,12086,489,null,11597,1,246.4928409,157123,1416,4.046003641,84000001,USA,3204.508906,11.71603508
Alaska,US,5/19/2020 2:32:23 AM,61.3707,-152.4044,388,10,345,33,2,53.03843236,35611,null,2.577319588,84000002,USA,4867.916533,null
American Samoa,US,5/19/2020 2:32:23 AM,-14.271,-170.132,0,0,null,0,60,0,105,null,null,16,ASM,188.7097644,null
Arizona,US,5/19/2020 2:32:23 AM,33.7298,-111.4312,14208,687,3570,9951,4,195.1992363,156473,1717,4.835304054,84000004,USA,2149.733257,12.08474099
Arkansas,US,5/19/2020 2:32:23 AM,34.9697,-92.3731,4813,100,3645,1068,5,159.4868321,85239,530,2.077706212,84000005,USA,2824.537313,11.01184293
California,US,5/19/2020 2:32:23 AM,36.1162,-119.6816,81457,3279,null,78178,6,206.1564595,1292672,null,4.025436733,84000006,USA,3271.574976,null
Colorado,US,5/19/2020 2:32:23 AM,39.0598,-105.3111,22202,1224,3346,17632,8,385.5359926,128495,3872,5.513016845,84000008,USA,2231.30562,17.43987028
Connecticut,US,5/19/2020 2:32:23 AM,41.5978,-72.7554,38116,3450,6264,28402,9,1069.086444,177679,10946,9.051317032,84000009,USA,4983.581967,28.71759891
Delaware,US,5/19/2020 2:32:23 AM,39.3185,-75.5071,7869,297,3545,4027,10,808.1013469,42458,null,3.774304232,84000010,USA,4360.194051,null
Diamond Princess,US,5/19/2020 2:32:23 AM,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/19/2020 2:32:23 AM,38.8974,-77.0268,7270,392,1028,5850,11,1030.111272,37825,null,5.392022008,84000011,USA,5359.554176,null
Florida,US,5/19/2020 2:32:23 AM,27.7663,-81.6868,46442,1997,null,44445,12,216.2332093,676412,8553,4.299987081,84000012,USA,3149.363455,18.41651953
Georgia,US,5/19/2020 2:32:23 AM,33.0406,-83.6431,38283,1649,null,36634,13,360.5677197,364289,6916,4.307394927,84000013,USA,3431.049135,18.06545986
Grand Princess,US,5/19/2020 2:32:23 AM,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/19/2020 2:32:23 AM,13.4443,144.7937,154,5,126,23,66,93.77150199,4723,null,3.246753247,316,GUM,2875.862363,null
Hawaii,US,5/19/2020 2:32:23 AM,21.0943,-157.4983,640,17,573,50,15,45.20182615,42045,82,2.65625,84000015,USA,2969.548095,12.8125
Idaho,US,5/19/2020 2:32:23 AM,44.2405,-114.4788,2455,74,1612,769,16,137.3760887,36672,213,3.014256619,84000016,USA,2052.079807,8.676171079
Illinois,US,5/19/2020 2:32:23 AM,40.3495,-88.9861,96485,4234,null,92251,17,761.4138489,603241,null,4.388246878,84000017,USA,4760.491803,null
Indiana,US,5/19/2020 2:32:23 AM,39.8494,-86.2583,28255,1765,null,26490,18,419.6981708,183912,4389,6.246682003,84000018,USA,2731.818439,15.53353389
Iowa,US,5/19/2020 2:32:23 AM,42.0115,-93.2105,14955,355,7324,7276,19,473.9989921,103148,null,2.373788031,84000019,USA,3269.277702,null
Kansas,US,5/19/2020 2:32:23 AM,38.5266,-96.7265,8303,198,465,7640,20,285.0018913,66990,740,2.384680236,84000020,USA,2299.443177,8.912441286
