Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/17/2020 2:32,32.3182,-86.9023,11674,485,null,11189,1,238.0901394,153494,1387,4.154531437,84000001,USA,3130.49579,11.88110331
Alaska,US,5/17/2020 2:32,61.3707,-152.4044,388,10,344,34,2,53.03843236,33281,null,2.577319588,84000002,USA,4549.412545,null
American Samoa,US,5/17/2020 2:32,-14.271,-170.132,0,0,null,0,60,0,105,null,null,16,ASM,188.7097644,null
Arizona,US,5/17/2020 2:32,33.7298,-111.4312,13666,679,3357,9630,4,187.7528691,146788,1683,4.96853505,84000004,USA,2016.674092,12.31523489
Arkansas,US,5/17/2020 2:32,34.9697,-92.3731,4578,98,3472,1008,5,151.6997128,81644,520,2.140672783,84000005,USA,2705.410954,11.35867191
California,US,5/17/2020 2:32,36.1162,-119.6816,78725,3208,null,75517,6,199.2421434,1179126,null,4.074944427,84000006,USA,2984.205672,null
Colorado,US,5/17/2020 2:32,39.0598,-105.3111,21633,1192,3312,17129,8,375.6553521,121840,3842,5.51010031,84000008,USA,2115.742066,17.75990385
Connecticut,US,5/17/2020 2:32,41.5978,-72.7554,36703,3339,6264,27100,9,1029.454291,164755,10946,9.097348991,84000009,USA,4621.086605,29.82317522
Delaware,US,5/17/2020 2:32,39.3185,-75.5071,7547,286,3367,3894,10,775.0337864,39758,null,3.789585266,84000010,USA,4082.919475,null
Diamond Princess,US,5/17/2020 2:32,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/17/2020 2:32,38.8974,-77.0268,7042,375,998,5669,11,997.8051687,35532,null,5.325191707,84000011,USA,5034.65113,null
Florida,US,5/17/2020 2:32,27.7663,-81.6868,44811,1964,null,42847,12,208.6392994,630047,8393,4.382852425,84000012,USA,2933.488756,18.72977617
Georgia,US,5/17/2020 2:32,33.0406,-83.6431,37212,1598,null,35614,13,350.4805262,321069,6735,4.294313662,84000013,USA,3023.982373,18.09900032
Grand Princess,US,5/17/2020 2:32,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/17/2020 2:32,13.4443,144.7937,154,5,126,23,66,93.77150199,4519,null,3.246753247,316,GUM,2751.645568,null
Hawaii,US,5/17/2020 2:32,21.0943,-157.4983,639,17,565,57,15,45.1311983,40883,81,2.660406886,84000015,USA,2887.478529,12.67605634
Idaho,US,5/17/2020 2:32,44.2405,-114.4788,2419,73,1588,758,16,135.3616125,35688,213,3.01777594,84000016,USA,1997.017456,8.805291443
Illinois,US,5/17/2020 2:32,40.3495,-88.9861,92457,4129,null,88328,17,729.6267837,561649,null,4.465859805,84000017,USA,4432.26747,null
Indiana,US,5/17/2020 2:32,39.8494,-86.2583,27280,1741,null,25539,18,405.215576,171358,4389,6.381964809,84000018,USA,2545.342034,16.08870968
Iowa,US,5/17/2020 2:32,42.0115,-93.2105,14328,346,6927,7055,19,454.1262159,96300,null,2.414852038,84000019,USA,3052.23022,null
Kansas,US,5/17/2020 2:32,38.5266,-96.7265,7939,195,443,7301,20,272.5075292,61592,724,2.456228744,84000020,USA,2114.155906,9.119536466
Kentucky,US,5/17/2020 2:32,37.6681,-84.6701,7688,334,2739,4615,21,172.0806335,127734,1896,4.344432882,84000021,USA,2859.072273,24.66181061
Louisiana,US,5/17/2020 2:32,31.1695,-91.8678,34117,2479,22608,9030,22,733.8892625,259742,null,7.266172289,84000022,USA,5587.298555,null
Maine,US,5/17/2020 2:32,44.6939,-69.3819,1648,70,1012,566,23,122.599709,23740,214,4.247572816,84000023,USA,1766.090468,12.98543689
Maryland,US,5/17/2020 2:32,39.0639,-76.8021,37968,1957,2806,33205,24,628.0186844,190175,6755,5.154340497,84000024,USA,3145.634569,17.79129794
Massachusetts,US,5/17/2020 2:32,42.2302,-71.5301,84933,5705,null,79228,25,1232.251912,448089,8456,6.717059329,84000025,USA,6501.107072,9.95608303
Michigan,US,5/17/2020 2:32,43.3266,-84.5361,50538,4881,28234,17423,26,506.0450951,357921,null,9.658079069,84000026,USA,3583.920347,null
Minnesota,US,5/17/2020 2:32,45.6945,-93.9002,14969,709,9571,4689,27,265.4251199,143281,2039,4.736455341,84000027,USA,2540.609033,13.6214844
Mississippi,US,5/17/2020 2:32,32.7416,-89.6787,11123,510,6268,4345,28,373.7380084,108476,1748,4.585093949,84000028,USA,3644.844395,15.71518475
Missouri,US,5/17/2020 2:32,38.4561,-92.2884,10959,594,null,10365,29,178.5601395,139340,null,5.420202573,84000029,USA,2270.332133,null
Montana,US,5/17/2020 2:32,46.9219,-110.4544,468,16,431,21,30,43.78832648,26091,63,3.418803419,84000030,USA,2441.199201,13.46153846
Nebraska,US,5/17/2020 2:32,41.1254,-98.2681,10220,123,null,10097,31,528.3270127,59978,null,1.203522505,84000031,USA,3100.586846,null
Nevada,US,5/17/2020 2:32,38.3135,-117.0554,6813,347,272,6194,32,221.1900956,73664,null,5.093204169,84000032,USA,2391.56718,null
New Hampshire,US,5/17/2020 2:32,43.4525,-71.5639,3556,171,1254,2131,33,261.5261625,42676,335,4.808773903,84000033,USA,3138.608131,9.420697413
New Jersey,US,5/17/2020 2:32,40.2989,-74.521,145089,10261,22939,111889,34,1633.482283,475224,null,7.07221085,84000034,USA,5350.302121,null
New Mexico,US,5/17/2020 2:32,34.8405,-106.2485,5847,259,1671,3917,35,278.8496344,124458,886,4.429622028,84000035,USA,5935.534085,15.15306995
New York,US,5/17/2020 2:32,42.1657,-74.9481,348232,28049,60796,259387,36,1790.068153,1378717,75163,8.054687679,84000036,USA,7087.221717,21.58417377
North Carolina,US,5/17/2020 2:32,35.6301,-79.8064,18130,676,9115,8339,37,172.8628413,238586,null,3.728626586,84000037,USA,2274.829225,null
North Dakota,US,5/17/2020 2:32,47.5289,-99.784,1848,42,1111,695,38,242.4999541,53487,130,2.272727273,84000038,USA,7018.720262,7.034632035
Northern Mariana Islands,US,5/17/2020 2:32,15.0979,145.6739,21,2,12,7,69,38.08211229,3339,null,9.523809524,580,MNP,6055.055854,null
Ohio,US,5/17/2020 2:32,40.3888,-82.7649,27474,1610,null,25864,39,235.0394812,246702,4870,5.860085899,84000039,USA,2110.530323,17.72584989
Oklahoma,US,5/17/2020 2:32,35.5653,-96.9289,5237,288,3945,1004,40,132.3487081,123399,878,5.499331678,84000040,USA,3118.521718,16.76532366
Oregon,US,5/17/2020 2:32,44.572,-122.0709,3612,137,1406,2069,41,85.63834113,92199,699,3.792912514,84000041,USA,2185.982673,19.35215947
Pennsylvania,US,5/17/2020 2:32,40.5908,-77.2098,65185,4480,null,60705,42,509.1786909,327836,null,6.872746798,84000042,USA,2560.820822,null
Puerto Rico,US,5/17/2020 2:32,18.2208,-66.5901,2589,122,null,2467,72,88.25911704,2589,null,4.71224411,630,PRI,88.25911704,null
Rhode Island,US,5/17/2020 2:32,41.6809,-71.5118,12434,489,947,10998,44,1173.726426,108480,1403,3.932764999,84000044,USA,10240.13533,11.28357729
South Carolina,US,5/17/2020 2:32,33.8569,-80.945,8661,380,5076,3205,45,168.2167625,109616,1421,4.387484124,84000045,USA,2128.997649,16.40688142
South Dakota,US,5/17/2020 2:32,44.2998,-99.4388,3959,44,2673,1242,46,447.5170659,28176,304,1.111391766,84000046,USA,3184.956011,7.678706744
