Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,4/30/2020 2:32:31 AM,32.3182,-86.9023,6912,256,null,6656,1,147.4120673,80449,945,3.703703704,84000001,USA,1715.733999,13.671875
Alaska,US,4/30/2020 2:32:31 AM,61.3707,-152.4044,355,9,240,346,2,59.38947618,19119,null,2.535211268,84000002,USA,3198.499705,null
American Samoa,US,4/30/2020 2:32:31 AM,-14.271,-170.132,0,0,null,null,60,0,3,null,null,16,ASM,5.391707554,null
Arizona,US,4/30/2020 2:32:31 AM,33.7298,-111.4312,7209,308,1475,6901,4,99.0421801,68813,1131,4.272437231,84000004,USA,945.4001303,15.68872243
Arkansas,US,4/30/2020 2:32:31 AM,34.9697,-92.3731,3193,57,1249,3136,5,123.3281847,45449,389,1.785155027,84000005,USA,1755.447124,12.18290009
California,US,4/30/2020 2:32:31 AM,36.1162,-119.6816,48747,1946,null,46801,6,124.3272525,603139,null,3.992040536,84000006,USA,1538.281633,null
Colorado,US,4/30/2020 2:32:31 AM,39.0598,-105.3111,14758,766,2275,13992,8,260.4285689,69449,2610,5.190405204,84000008,USA,1225.53894,17.68532321
Connecticut,US,4/30/2020 2:32:31 AM,41.5978,-72.7554,26767,2169,null,24598,9,750.767049,94818,null,8.103261479,84000009,USA,2659.477344,null
Delaware,US,4/30/2020 2:32:31 AM,39.3185,-75.5071,4655,144,1173,4511,10,478.0419075,21538,null,3.093447905,84000010,USA,2211.82956,null
Diamond Princess,US,4/30/2020 2:32:31 AM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,4/30/2020 2:32:31 AM,38.8974,-77.0268,4106,205,660,3901,11,581.7932438,19229,null,4.992693619,84000011,USA,2724.62306,null
Florida,US,4/30/2020 2:32:31 AM,27.7663,-81.6868,33193,1218,null,31975,12,156.3303157,373488,5624,3.669448378,84000012,USA,1759.030427,16.94333143
