Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/20/2020 2:32:25 AM,32.3182,-86.9023,12376,504,null,11872,1,252.4073638,157566,1453,4.07239819,84000001,USA,3213.54385,11.74046542
Alaska,US,5/20/2020 2:32:25 AM,61.3707,-152.4044,400,10,348,42,2,54.67879625,36380,null,2.5,84000002,USA,4973.036519,null
American Samoa,US,5/20/2020 2:32:25 AM,-14.271,-170.132,0,0,null,0,60,0,124,null,null,16,ASM,222.8572456,null
Arizona,US,5/20/2020 2:32:25 AM,33.7298,-111.4312,14576,705,3693,10178,4,200.2550724,161571,1746,4.836717892,84000004,USA,2219.773073,11.97859495
Arkansas,US,5/20/2020 2:32:25 AM,34.9697,-92.3731,4923,102,3739,1082,5,163.1318667,93701,535,2.071907374,84000005,USA,3104.939883,10.8673573
California,US,5/20/2020 2:32:25 AM,36.1162,-119.6816,83752,3403,null,80349,6,211.9647887,1339316,null,4.063186551,84000006,USA,3389.624522,null
Colorado,US,5/20/2020 2:32:25 AM,39.0598,-105.3111,22482,1257,3431,17794,8,390.3981707,131333,3899,5.591139578,84000008,USA,2280.587268,17.3427631
Connecticut,US,5/20/2020 2:32:25 AM,41.5978,-72.7554,38430,3472,6264,28694,9,1077.893589,185520,10946,9.034608379,84000009,USA,5203.508161,28.48295602
Delaware,US,5/20/2020 2:32:25 AM,39.3185,-75.5071,8037,304,3760,3973,10,825.3539872,44132,null,3.78250591,84000010,USA,4532.104288,null
Diamond Princess,US,5/20/2020 2:32:25 AM,null,null,49,0,null,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/20/2020 2:32:25 AM,38.8974,-77.0268,7434,400,1040,5994,11,1053.348995,39374,null,5.380683347,84000011,USA,5579.037306,null
Florida,US,5/20/2020 2:32:25 AM,27.7663,-81.6868,46944,2052,null,44892,12,218.5705133,715855,8744,4.371165644,84000012,USA,3333.009432,18.62644853
Georgia,US,5/20/2020 2:32:25 AM,33.0406,-83.6431,38855,1675,null,37180,13,365.955091,378156,7027,4.310899498,84000013,USA,3561.655215,18.08518852
Grand Princess,US,5/20/2020 2:32:25 AM,null,null,103,3,null,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/20/2020 2:32:25 AM,13.4443,144.7937,154,5,126,23,66,93.77150199,4827,null,3.246753247,316,GUM,2939.188572,null
Hawaii,US,5/20/2020 2:32:25 AM,21.0943,-157.4983,641,17,574,50,15,45.27245401,45023,82,2.652106084,84000015,USA,3179.877842,12.7925117
Idaho,US,5/20/2020 2:32:25 AM,44.2405,-114.4788,2455,74,1649,732,16,137.3760887,38069,213,3.014256619,84000016,USA,2130.252677,8.676171079
Illinois,US,5/20/2020 2:32:25 AM,40.3495,-88.9861,98030,4379,null,93651,17,773.606256,621684,null,4.466999898,84000017,USA,4906.03521,null
Indiana,US,5/20/2020 2:32:25 AM,39.8494,-86.2583,28705,1824,null,26881,18,426.3824454,189330,4389,6.354293677,84000018,USA,2812.297104,15.29001916
Iowa,US,5/20/2020 2:32:25 AM,42.0115,-93.2105,15296,367,8130,6799,19,484.8069932,107648,null,2.399320084,84000019,USA,3411.905283,null
