Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,4/24/2020 3:33:00 AM,32.3182,-86.9023,5832,202,null,5630,1,124.3789318,52641,768,3.463648834,84000001,USA,1122.673413,13.16872428
Alaska,US,4/24/2020 3:33:00 AM,61.3707,-152.4044,337,9,209,328,2,56.3781788,12161,42,2.670623145,84000002,USA,2034.465972,12.46290801
American Samoa,US,4/24/2020 3:33:00 AM,-14.271,-170.132,0,0,null,null,60,0,3,null,null,16,ASM,5.391707554,null
Arizona,US,4/24/2020 3:33:00 AM,33.7298,-111.4312,5772,249,1282,5523,4,79.29968977,58697,699,4.313929314,84000004,USA,806.4195929,12.11018711
Arkansas,US,4/24/2020 3:33:00 AM,34.9697,-92.3731,2599,45,902,2554,5,100.3852026,31590,291,1.731435167,84000005,USA,1220.1495,11.19661408
California,US,4/24/2020 3:33:00 AM,36.1162,-119.6816,39561,1533,null,38028,6,100.8987309,482097,4929,3.875028437,84000006,USA,1229.568906,12.45924016
Colorado,US,4/24/2020 3:33:00 AM,39.0598,-105.3111,11278,552,null,10726,8,199.0183901,50645,2123,4.894484838,84000008,USA,893.7122153,18.82425962
Connecticut,US,4/24/2020 3:33:00 AM,41.5978,-72.7554,23100,1639,null,21461,9,647.9141791,71497,1947,7.095238095,84000009,USA,2005.364505,8.428571429
Delaware,US,4/24/2020 3:33:00 AM,39.3185,-75.5071,3308,92,643,3216,10,339.7127025,16912,290,2.781136638,84000010,USA,1736.765787,8.76662636
Diamond Princess,US,4/24/2020 3:33:00 AM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,4/24/2020 3:33:00 AM,38.8974,-77.0268,3361,139,648,3222,11,476.2316348,15930,402,4.135673907,84000011,USA,2257.176418,11.96072597
Florida,US,4/24/2020 3:33:00 AM,27.7663,-81.6868,29648,987,null,28661,12,139.6342964,296708,4693,3.329060982,84000012,USA,1397.416784,15.82906098
Georgia,US,4/24/2020 3:33:00 AM,33.0406,-83.6431,21883,881,null,21002,13,215.821598,101062,4069,4.025956222,84000013,USA,996.7263326,18.59434264
Grand Princess,US,4/24/2020 3:33:00 AM,null,null,103,3,0,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,4/24/2020 3:33:00 AM,13.4443,144.7937,139,5,126,134,66,84.63791413,1315,2,3.597122302,316,GUM,800.711202,1.438848921
Hawaii,US,4/24/2020 3:33:00 AM,21.0943,-157.4983,596,12,444,584,15,42.09675756,26128,63,2.013422819,84000015,USA,1845.476647,10.5704698
Idaho,US,4/24/2020 3:33:00 AM,44.2405,-114.4788,1836,54,767,1782,16,114.0020751,18092,162,2.941176471,84000016,USA,1123.379926,8.823529412
Illinois,US,4/24/2020 3:33:00 AM,40.3495,-88.9861,36937,1688,null,35249,17,314.7417532,173316,4877,4.569943417,84000017,USA,1476.833032,13.20356282
Indiana,US,4/24/2020 3:33:00 AM,39.8494,-86.2583,13039,706,null,12333,18,199.2514052,72040,null,5.414525654,84000018,USA,1100.856755,null
Iowa,US,4/24/2020 3:33:00 AM,42.0115,-93.2105,3924,96,1492,3828,19,149.7302452,29262,282,2.44648318,84000019,USA,1116.56637,7.186544343
Kansas,US,4/24/2020 3:33:00 AM,38.5266,-96.7265,2721,113,null,2608,20,111.5855399,21318,442,4.152884969,84000020,USA,874.2302607,16.24402793
Kentucky,US,4/24/2020 3:33:00 AM,37.6681,-84.6701,3479,191,1311,3288,21,101.6269959,36075,1105,5.490083357,84000021,USA,1053.806806,31.76200057
Louisiana,US,4/24/2020 3:33:00 AM,31.1695,-91.8678,25739,1599,null,24140,22,559.8762395,143315,1727,6.212362563,84000022,USA,3117.396296,6.70966238
Maine,US,4/24/2020 3:33:00 AM,44.6939,-69.3819,937,44,485,893,23,79.81219857,17721,150,4.69583778,84000023,USA,1509.447141,16.00853789
Maryland,US,4/24/2020 3:33:00 AM,39.0639,-76.8021,15737,748,1040,14989,24,264.7839975,80100,3477,4.753129567,84000024,USA,1347.728169,22.09442715
Massachusetts,US,4/24/2020 3:33:00 AM,42.2302,-71.5301,46023,2360,null,43663,25,670.5205243,195076,4493,5.127870847,84000025,USA,2842.110723,9.762510049
Michigan,US,4/24/2020 3:33:00 AM,43.3266,-84.5361,35296,2977,3237,32319,26,443.0130864,128321,3611,8.4343835,84000026,USA,1610.604099,10.23062103
Minnesota,US,4/24/2020 3:33:00 AM,45.6945,-93.9002,2942,200,1536,2742,27,59.47704675,51548,712,6.798096533,84000027,USA,1042.12196,24.20122366
Mississippi,US,4/24/2020 3:33:00 AM,32.7416,-89.6787,5153,201,null,4952,28,177.9838809,55389,946,3.900640404,84000028,USA,1913.128116,18.35823792
Missouri,US,4/24/2020 3:33:00 AM,38.4561,-92.2884,6506,252,null,6254,29,111.0341984,59450,884,3.873347679,84000029,USA,1014.599308,13.58745773
Montana,US,4/24/2020 3:33:00 AM,46.9219,-110.4544,442,14,306,428,30,51.04002716,11875,59,3.167420814,84000030,USA,1371.267698,13.34841629
Nebraska,US,4/24/2020 3:33:00 AM,41.1254,-98.2681,2202,47,null,2155,31,144.3676931,17360,null,2.134423252,84000031,USA,1138.157653,null
Nevada,US,4/24/2020 3:33:00 AM,38.3135,-117.0554,4208,195,null,4013,32,139.4903101,34749,null,4.634030418,84000032,USA,1151.88897,null
New Hampshire,US,4/24/2020 3:33:00 AM,43.4525,-71.5639,1670,51,550,1619,33,125.738999,16012,213,3.053892216,84000033,USA,1205.588534,12.75449102
New Jersey,US,4/24/2020 3:33:00 AM,40.2989,-74.521,100025,5426,null,94599,34,1126.12993,200148,7240,5.424643839,84000034,USA,2253.363191,7.238190452
New Mexico,US,4/24/2020 3:33:00 AM,34.8405,-106.2485,2379,78,547,2301,35,142.6658423,41232,331,3.278688525,84000035,USA,2472.634724,13.913409
New York,US,4/24/2020 3:33:00 AM,42.1657,-74.9481,263460,20973,23887,242487,36,1562.538458,695920,57103,7.96060123,84000036,USA,4127.388459,21.67425795
North Carolina,US,4/24/2020 3:33:00 AM,35.6301,-79.8064,7820,281,null,7539,37,78.84753538,96185,486,3.593350384,84000037,USA,969.8146024,6.21483376
North Dakota,US,4/24/2020 3:33:00 AM,47.5289,-99.784,709,15,269,694,38,116.9160546,16330,65,2.115655853,84000038,USA,2692.862019,9.167842031
Northern Mariana Islands,US,4/24/2020 3:33:00 AM,15.0979,145.6739,14,2,11,12,69,25.38807486,65,null,14.28571429,580,MNP,117.8732047,null
Ohio,US,4/24/2020 3:33:00 AM,40.3888,-82.7649,14694,656,null,14038,39,131.503348,102325,2960,4.464407241,84000039,USA,915.7533744,20.14427658
Oklahoma,US,4/24/2020 3:33:00 AM,35.5653,-96.9289,3017,179,1884,2838,40,82.48501627,46036,622,5.933046072,84000040,USA,1258.627845,20.61650646
Oregon,US,4/24/2020 3:33:00 AM,44.572,-122.0709,2127,83,null,2044,41,53.08112603,43976,512,3.902209685,84000041,USA,1097.459144,24.07146215
Pennsylvania,US,4/24/2020 3:33:00 AM,40.5908,-77.2098,38379,1724,null,36655,42,304.8977887,178708,2750,4.492039918,84000042,USA,1419.726257,7.165376899
Puerto Rico,US,4/24/2020 3:33:00 AM,18.2208,-66.5901,1416,69,null,1347,72,48.27149854,10228,null,4.872881356,630,PRI,348.6729429,null
